TL,TR,reporting_date,sCh,cCh,CFR
2020-01-01,2020-09-30,2020-09-30,0,0,
2018-05-18,2018-11-02,2018-11-02,745,53,7.55
2018-05-18,2018-07-05,2018-07-05,26,8,0.0
2010-05-06,2010-12-31,2010-12-31,10759,0,
2011-01-01,2011-09-22,2011-09-22,17121,0,
2010-05-03,2010-05-09,2010-05-09,81,22,4.55
2010-05-10,2010-05-16,2010-05-16,35,17,0.0
2010-05-17,2010-05-23,2010-05-23,67,0,
2010-05-24,2010-05-30,2010-05-30,27,0,
2010-05-31,2010-06-06,2010-06-06,50,14,7.14
2010-06-07,2010-06-13,2010-06-13,50,22,4.55
2010-06-14,2010-06-20,2010-06-20,54,34,5.88
2010-06-21,2010-06-27,2010-06-27,123,46,6.52
2010-06-28,2010-07-04,2010-07-04,189,59,6.78
2010-07-05,2010-07-11,2010-07-11,170,109,7.34
2010-07-12,2010-07-18,2010-07-18,286,0,
2010-07-19,2010-07-25,2010-07-25,297,0,
2010-07-26,2010-08-01,2010-08-01,440,265,7.92
2010-08-02,2010-08-08,2010-08-08,588,385,7.79
2010-08-09,2010-08-15,2010-08-15,742,247,7.69
2010-08-16,2010-08-22,2010-08-22,785,340,7.94
2010-08-23,2010-08-29,2010-08-29,939,250,8.0
2010-08-30,2010-09-05,2010-09-05,916,356,7.87
2010-09-06,2010-09-12,2010-09-12,789,0,
2010-09-13,2010-09-19,2010-09-19,730,469,7.89
2010-09-20,2010-09-26,2010-09-26,576,255,7.84
2010-09-27,2010-10-03,2010-10-03,394,99,7.07
2010-10-04,2010-10-10,2010-10-10,336,215,7.91
2010-10-11,2010-10-17,2010-10-17,0,0,
2010-10-18,2010-10-24,2010-10-24,239,98,7.14
2010-10-25,2010-10-31,2010-10-31,0,0,
2010-11-01,2010-11-07,2010-11-07,147,45,6.67
2010-11-08,2010-11-14,2010-11-14,193,43,6.98
2010-11-15,2010-11-21,2010-11-21,185,80,7.5
2010-11-22,2010-11-28,2010-11-28,193,116,5.17
