Location,Region,TL,TR,reporting_date,sCh,cCh,deaths,CFR
AFR::CMR::Far North::Goulfey Health District,Far North,2017-01-09,2017-01-15,2017-01-15,42,17,0,0.0
AFR::CMR::North-West::Batibo Health District,North-West,2014-06-09,2014-06-15,2014-06-15,0,0,0,
AFR::CMR::East::Kette Health District,East,2010-03-08,2010-03-14,2010-03-14,0,0,0,
AFR::CMR::Far North::Mada Health District,Far North,2015-12-14,2015-12-20,2015-12-20,0,0,0,
AFR::CMR::South::Ambam Health District,South,2016-01-11,2016-01-17,2016-01-17,0,0,0,
AFR::CMR::Centre::Djoungolo Health District,Centre,2017-06-12,2017-06-18,2017-06-18,0,0,0,
AFR::CMR::North::Ngong Health District,North,2016-11-28,2016-12-04,2016-12-04,0,0,0,
AFR::CMR::North::Poli Health District,North,2016-11-28,2016-12-04,2016-12-04,0,0,0,
AFR::CMR::North::Touboro Health District,North,2016-11-28,2016-12-04,2016-12-04,12,6,0,0.0
AFR::CMR::Littoral::Bangue Health District,Littoral,2016-11-28,2016-12-04,2016-12-04,0,0,0,
AFR::CMR::Littoral::Pouma Health District,Littoral,2015-09-28,2015-10-04,2015-10-04,0,0,0,
AFR::CMR::East::Batouri Health District,East,2015-09-28,2015-10-04,2015-10-04,0,0,0,
AFR::CMR::East::Kette Health District,East,2015-09-28,2015-10-04,2015-10-04,0,0,0,
AFR::CMR::West::Galim Health District,West,2014-04-14,2014-04-20,2014-04-20,0,0,0,
AFR::CMR::Far North::Makary Health District,Far North,2017-11-20,2017-11-26,2017-11-26,0,0,0,
AFR::CMR::Littoral::Bonassama Health District,Littoral,2018-12-10,2018-12-16,2018-12-16,0,0,0,
AFR::CMR::North::Garoua 2 Health District,North,2019-09-09,2019-09-15,2019-09-15,52,15,0,0.0
AFR::CMR::South::Lolodorf Health District,South,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::North::Golombe Health District,North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::North::Poli Health District,North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Littoral::Japoma Health District,Littoral,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Littoral::Ndom Health District,Littoral,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::East::Abong Mbang Health District,East,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::East::Kette Health District,East,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::Far North::Guere Health District,Far North,2019-05-13,2019-05-19,2019-05-19,0,0,0,
AFR::CMR::West::Foumbot Health District,West,2013-06-03,2013-06-09,2013-06-09,0,0,0,
AFR::CMR::North-West::Nwa Health District,North-West,2015-08-10,2015-08-16,2015-08-16,0,0,0,
AFR::CMR::North-West::Oku Health District,North-West,2015-08-10,2015-08-16,2015-08-16,0,0,0,
AFR::CMR::North-West::Santa Health District,North-West,2015-08-10,2015-08-16,2015-08-16,0,0,0,
AFR::CMR::North-West::Tubah Health District,North-West,2015-08-10,2015-08-16,2015-08-16,0,0,0,
AFR::CMR::North-West::Wum Health District,North-West,2015-08-10,2015-08-16,2015-08-16,0,0,0,
AFR::CMR::East::Ndelele Health District,East,2013-03-04,2013-03-10,2013-03-10,0,0,0,
AFR::CMR::East::Nguelemendouka Health District,East,2013-03-04,2013-03-10,2013-03-10,0,0,0,
AFR::CMR::West::Dschang Health District,West,2013-05-06,2013-05-12,2013-05-12,0,0,0,
AFR::CMR::West::Foumban Health District,West,2013-05-06,2013-05-12,2013-05-12,0,0,0,
AFR::CMR::West::Foumbot Health District,West,2013-05-06,2013-05-12,2013-05-12,30,13,0,0.0
