adm1_name,elevation_mean,elevation_min,elevation_max,slope_mean,slope_min,slope_max
Adamawa,996.2186907101064,336.0,2427.0,,,
Centre,653.0469086186988,29.0,1568.0,,,
East,652.7671082087912,320.0,1099.0,,,
Far-North,388.7712004104444,253.0,1470.0,,,
Littoral,276.1986621555684,-68.0,2292.0,,,
North,501.47818589373514,129.0,2029.0,,,
North-West,1126.84702534804,169.0,3006.0,,,
South,548.9449358140931,-11.0,1109.0,,,
South-West,398.0925491592435,-70.0,4029.0,,,
West,1071.8683518835796,168.0,2744.0,,,
