adm1_name,elevation_mean,elevation_min,elevation_max,slope_mean_x,slope_min_x,slope_max_x,slope_mean_y,slope_min_y,slope_max_y
Adamawa,996.2186907101064,336.0,2427.0,6.8,0.2,32.5,7.1,0.3,33.0
Centre,653.0469086186988,29.0,1568.0,4.5,0.1,21.7,4.8,0.1,22.3
East,652.7671082087912,320.0,1099.0,3.9,0.1,18.6,4.2,0.2,19.1
Far-North,388.7712004104444,253.0,1470.0,2.7,0.0,14.2,2.9,0.0,14.8
Littoral,276.1986621555684,-68.0,2292.0,3.2,0.0,19.4,3.5,0.0,20.1
North,501.4781858937352,129.0,2029.0,4.1,0.1,20.8,4.3,0.1,21.5
North-West,1126.84702534804,169.0,3006.0,12.6,0.4,45.7,13.2,0.5,46.3
South,548.9449358140931,-11.0,1109.0,3.6,0.1,17.9,3.9,0.1,18.5
South-West,398.0925491592435,-70.0,4029.0,10.8,0.3,42.1,11.3,0.4,43.0
West,1071.8683518835796,168.0,2744.0,11.9,0.3,44.2,12.4,0.4,45.0
