REF_AREA,Year,Population_Density
CMR,1998,29.92291256795921
CMR,2011,42.80066848596391
CMR,2012,44.0217659876034
CMR,2017,51.043136383829406
CMR,1999,30.727380423515477
CMR,2010,41.60704448816399
CMR,2014,46.6668634046244
CMR,2016,49.61638425250153
CMR,2004,35.13885257345942
CMR,2015,48.155135283789214
CMR,2020,55.44743711789469
CMR,2018,52.47695838886421
CMR,2013,45.27591123521821
CMR,2021,56.93926085760826
CMR,2002,33.26675551606694
CMR,2009,40.43488396691418
CMR,2019,53.95717247360961
CMR,2003,34.186583740559755
CMR,2008,39.29270800279241
CMR,2007,38.18386748746589
CMR,2001,32.38664297349326
CMR,2023,60.02133866429735
CMR,2006,37.12721753294832
CMR,2005,36.12065325463815
CMR,2000,31.54710287491274
CMR,2022,58.456074548877744
CMR,1997,29.14094053436568
CMR,1993,26.132578113431062
CMR,1995,27.62479321359819
CMR,1991,24.681474900044424
CMR,1994,26.87673838082545
CMR,1996,28.37840748027332
CMR,1992,25.39898246282076
CMR,1988,22.60364282541093
CMR,1990,23.97203570899706
CMR,1987,21.938924499164397
CMR,1989,23.275887965137187
CMR,1986,21.282270313723
CMR,1982,19.099824416661377
CMR,1980,18.0072750735123
CMR,1985,20.650568001523133
CMR,1983,19.494821349241608
CMR,1977,16.493200905417698
CMR,1981,18.65070973747118
CMR,1979,17.430646696706226
CMR,1976,16.07319921304817
CMR,1984,20.04416661378012
CMR,1978,16.948913710308645
CMR,1974,15.217750840896109
CMR,1975,15.648325611897356
CMR,1973,14.801167734974932
CMR,1971,14.013682807641048
CMR,1966,12.34857523640287
CMR,1972,14.399678449789512
CMR,1969,13.29242453089632
CMR,1968,12.959029849167566
CMR,1967,12.644788559581984
CMR,1962,11.293647267880942
CMR,1964,11.8005902138732
CMR,1970,13.644291426032874
CMR,1963,11.543278119777453
CMR,1961,11.083482473398066
CMR,1965,12.06804594783271
