Year,Service Type,Service level,Coverage
2011,Drinking water,At least basic,57.99071
2011,Sanitation,At least basic,34.0094
2011,Drinking water,Limited service,9.8151
2011,Sanitation,Limited service,17.49131
2011,Sanitation,Open defecation,2.41003
2011,Drinking water,Surface water,8.81053
2011,Drinking water,Unimproved,23.38365
2011,Sanitation,Unimproved,46.08926
2011,Drinking water,At least basic,40.37223
2011,Sanitation,At least basic,22.60202
2011,Drinking water,Limited service,9.20825
2011,Sanitation,Limited service,6.94833
2011,Sanitation,Open defecation,6.59258
2011,Drinking water,Surface water,17.68586
2011,Drinking water,Unimproved,32.73366
2011,Sanitation,Unimproved,63.85707
2011,Drinking water,At least basic,33.80848
2011,Sanitation,At least basic,22.75457
2011,Drinking water,Limited service,8.51002
2011,Sanitation,Limited service,1.72811
2011,Sanitation,Open defecation,26.22674
2011,Drinking water,Surface water,18.9905
2011,Drinking water,Unimproved,38.69101
2011,Sanitation,Unimproved,49.29059
2011,Drinking water,At least basic,79.1705
2011,Sanitation,At least basic,51.2702
2011,Drinking water,Limited service,9.36501
2011,Sanitation,Limited service,33.4918
2011,Sanitation,Open defecation,0.18846
2011,Drinking water,Surface water,2.25284
2011,Drinking water,Unimproved,9.21165
2011,Sanitation,Unimproved,15.04954
2014,Drinking water,At least basic,57.34998
2014,Sanitation,At least basic,33.6125
2014,Hygiene,Basic service,4.40922
2014,Drinking water,Limited service,13.45605
2014,Hygiene,Limited service,5.09804
2014,Sanitation,Limited service,21.56738
2014,Hygiene,No handwashing facility,90.49274
2014,Sanitation,Open defecation,1.75282
2014,Drinking water,Surface water,8.58106
2014,Drinking water,Unimproved,20.61291
2014,Sanitation,Unimproved,43.0673
2014,Drinking water,At least basic,44.37559
2014,Sanitation,At least basic,10.59854
2014,Hygiene,Basic service,3.1686
2014,Drinking water,Limited service,9.78847
2014,Hygiene,Limited service,6.06517
2014,Sanitation,Limited service,5.97349
2014,Hygiene,No handwashing facility,90.76623
2014,Sanitation,Open defecation,6.97068
2014,Drinking water,Surface water,15.26481
2014,Drinking water,Unimproved,30.57113
2014,Sanitation,Unimproved,76.4573
2014,Drinking water,At least basic,40.34977
2014,Sanitation,At least basic,4.01269
2014,Hygiene,Basic service,2.48412
2014,Drinking water,Limited service,7.1801
2014,Hygiene,Limited service,7.80105
2014,Sanitation,Limited service,0.75971
2014,Hygiene,No handwashing facility,89.71484
2014,Sanitation,Open defecation,27.09117
2014,Drinking water,Surface water,16.11708
2014,Drinking water,Unimproved,36.35305
2014,Sanitation,Unimproved,68.13643
2014,Drinking water,At least basic,78.24578
2014,Sanitation,At least basic,50.65262
2014,Hygiene,Basic service,5.44622
2014,Drinking water,Limited service,12.47831
2014,Hygiene,Limited service,4.31493
2014,Sanitation,Limited service,36.91121
2014,Hygiene,No handwashing facility,90.23885
2014,Sanitation,Open defecation,0.30106
2014,Drinking water,Surface water,1.75801
2014,Drinking water,Unimproved,7.5179
2014,Sanitation,Unimproved,12.13511
2019,Drinking water,At least basic,68.64964
2019,Sanitation,At least basic,43.99169
2019,Hygiene,Basic service,34.40881
2019,Drinking water,Limited service,9.88045
2019,Hygiene,Limited service,62.3304
2019,Sanitation,Limited service,19.39213
2019,Hygiene,No handwashing facility,3.26079
2019,Sanitation,Open defecation,0.57725
2019,Drinking water,Surface water,4.3792
2019,Drinking water,Unimproved,17.09071
2019,Sanitation,Unimproved,36.03893
2019,Drinking water,At least basic,51.29193
2019,Sanitation,At least basic,27.04541
2019,Hygiene,Basic service,25.43549
2019,Drinking water,Limited service,7.44363
2019,Hygiene,Limited service,70.77255
2019,Sanitation,Limited service,6.51222
2019,Hygiene,No handwashing facility,3.79196
2019,Sanitation,Open defecation,3.55329
2019,Drinking water,Surface water,9.55821
2019,Drinking water,Unimproved,31.70624
2019,Sanitation,Unimproved,62.88908
2019,Drinking water,At least basic,37.918
2019,Sanitation,At least basic,12.19763
2019,Hygiene,Basic service,7.8964
2019,Drinking water,Limited service,8.07072
2019,Hygiene,Limited service,85.69417
2019,Sanitation,Limited service,0.98165
2019,Hygiene,No handwashing facility,6.40943
2019,Sanitation,Open defecation,21.89448
2019,Drinking water,Surface water,19.32371
2019,Drinking water,Unimproved,34.68757
2019,Sanitation,Unimproved,64.92623
2019,Drinking water,At least basic,84.89738
2019,Sanitation,At least basic,53.43022
2019,Hygiene,Basic service,41.81812
2019,Drinking water,Limited service,8.95634
2019,Hygiene,Limited service,54.37859
2019,Sanitation,Limited service,31.95202
2019,Hygiene,No handwashing facility,3.80329
2019,Sanitation,Open defecation,0.14827
2019,Drinking water,Surface water,0.62239
2019,Drinking water,Unimproved,5.5239
2019,Sanitation,Unimproved,14.46949
