,Unnamed: 0,Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database,delete_flag,location_parts
85717,85717,85719,AFR::CMR,2020-01-01,2020-09-30,0,0,0,,2020-09-30,28,JHU Cholera Database (UID: 21144),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1848 cases, 79 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85718,85718,85720,AFR::CMR,2018-05-18,2018-11-02,4,745,53,7.55,2018-11-02,18,WHO AFRO Surveillance Report (UID: 21027),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 745 cases, 48 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85727,85727,85729,AFR::CMR,2018-05-18,2018-07-05,0,26,8,0.0,2018-07-05,38,WHO AFRO Surveillance Report (UID: 20926),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 20 cases, 3 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85741,85741,85745,AFR::CMR,2010-05-06,2010-12-31,0,10759,0,,2010-12-31,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 10759 cases, 657 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85752,85752,85756,AFR::CMR,2011-01-01,2011-09-22,0,17121,0,,2011-09-22,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 17121 cases, 636 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85763,85763,85767,AFR::CMR,2010-05-03,2010-05-09,1,81,22,4.55,2010-05-09,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 23 cases, 3 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85764,85764,85768,AFR::CMR,2010-05-10,2010-05-16,0,35,17,0.0,2010-05-16,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 31 cases, 0 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85765,85765,85769,AFR::CMR,2010-05-17,2010-05-23,0,67,0,,2010-05-23,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 11 cases, 0 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85766,85766,85770,AFR::CMR,2010-05-24,2010-05-30,0,27,0,,2010-05-30,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 11 cases, 5 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85767,85767,85771,AFR::CMR,2010-05-31,2010-06-06,1,50,14,7.14,2010-06-06,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 23 cases, 2 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85768,85768,85772,AFR::CMR,2010-06-07,2010-06-13,1,50,22,4.55,2010-06-13,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 23 cases, 8 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85769,85769,85773,AFR::CMR,2010-06-14,2010-06-20,2,54,34,5.88,2010-06-20,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 54 cases, 2 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85770,85770,85774,AFR::CMR,2010-06-21,2010-06-27,3,123,46,6.52,2010-06-27,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 123 cases, 5 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85771,85771,85775,AFR::CMR,2010-06-28,2010-07-04,4,189,59,6.78,2010-07-04,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 189 cases, 11 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85772,85772,85776,AFR::CMR,2010-07-05,2010-07-11,8,170,109,7.34,2010-07-11,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 170 cases, 18 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85773,85773,85777,AFR::CMR,2010-07-12,2010-07-18,0,286,0,,2010-07-18,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 286 cases, 18 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85774,85774,85778,AFR::CMR,2010-07-19,2010-07-25,0,297,0,,2010-07-25,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 297 cases, 22 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85775,85775,85779,AFR::CMR,2010-07-26,2010-08-01,21,440,265,7.92,2010-08-01,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 440 cases, 27 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85776,85776,85780,AFR::CMR,2010-08-02,2010-08-08,30,588,385,7.79,2010-08-08,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 588 cases, 48 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85777,85777,85781,AFR::CMR,2010-08-09,2010-08-15,19,742,247,7.69,2010-08-15,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 742 cases, 51 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85778,85778,85782,AFR::CMR,2010-08-16,2010-08-22,27,785,340,7.94,2010-08-22,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 785 cases, 45 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85779,85779,85783,AFR::CMR,2010-08-23,2010-08-29,20,939,250,8.0,2010-08-29,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 939 cases, 56 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85780,85780,85784,AFR::CMR,2010-08-30,2010-09-05,28,916,356,7.87,2010-09-05,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 916 cases, 57 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85781,85781,85785,AFR::CMR,2010-09-06,2010-09-12,0,789,0,,2010-09-12,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 789 cases, 43 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85782,85782,85786,AFR::CMR,2010-09-13,2010-09-19,37,730,469,7.89,2010-09-19,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 730 cases, 42 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85783,85783,85787,AFR::CMR,2010-09-20,2010-09-26,20,576,255,7.84,2010-09-26,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 576 cases, 39 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85784,85784,85788,AFR::CMR,2010-09-27,2010-10-03,7,394,99,7.07,2010-10-03,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 394 cases, 16 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85785,85785,85789,AFR::CMR,2010-10-04,2010-10-10,17,336,215,7.91,2010-10-10,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 336 cases, 20 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85786,85786,85790,AFR::CMR,2010-10-11,2010-10-17,0,0,0,,2010-10-17,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 251 cases, 21 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85787,85787,85791,AFR::CMR,2010-10-18,2010-10-24,7,239,98,7.14,2010-10-24,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 239 cases, 12 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85788,85788,85792,AFR::CMR,2010-10-25,2010-10-31,0,0,0,,2010-10-31,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 255 cases, 11 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85789,85789,85793,AFR::CMR,2010-11-01,2010-11-07,3,147,45,6.67,2010-11-07,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 147 cases, 8 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
85790,85790,85794,AFR::CMR,2010-11-08,2010-11-14,3,193,43,6.98,2010-11-14,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 193 cases, 10 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,1
