reporting_date,TL,TR,sCh,cCh,deaths,CFR,Region
2010-01-10,1/4/2010,1/10/2010,1049,256,3,1.171875,Cameroon
2010-01-17,1/11/2010,1/17/2010,538,148,0,0.0,Cameroon
2010-01-24,1/18/2010,1/24/2010,322,103,0,0.0,Cameroon
2010-01-31,1/25/2010,1/31/2010,346,94,1,1.0638297872340425,Cameroon
2010-02-07,2/1/2010,2/7/2010,633,160,3,1.875,Cameroon
2010-02-14,2/8/2010,2/14/2010,478,209,2,0.9569377990430622,Cameroon
2010-02-21,2/15/2010,2/21/2010,648,152,1,0.6578947368421052,Cameroon
2010-02-28,2/22/2010,2/28/2010,462,117,2,1.7094017094017095,Cameroon
2010-03-07,3/1/2010,3/7/2010,622,207,1,0.4830917874396135,Cameroon
2010-03-14,3/8/2010,3/14/2010,621,195,2,1.0256410256410255,Cameroon
2010-03-21,3/15/2010,3/21/2010,1284,384,10,2.604166666666667,Cameroon
2010-03-28,3/22/2010,3/28/2010,334,126,3,2.380952380952381,Cameroon
2010-04-04,3/29/2010,4/4/2010,496,94,2,2.127659574468085,Cameroon
2010-04-11,4/5/2010,4/11/2010,1395,377,5,1.3262599469496021,Cameroon
2010-04-18,4/12/2010,4/18/2010,1295,420,6,1.4285714285714286,Cameroon
2010-04-25,4/19/2010,4/25/2010,1303,200,4,2.0,Cameroon
2010-05-02,4/26/2010,5/2/2010,1714,309,5,1.6181229773462782,Cameroon
2010-05-09,5/3/2010,5/9/2010,1119,430,8,1.8604651162790697,Cameroon
2010-05-16,5/10/2010,5/16/2010,1281,412,4,0.9708737864077669,Cameroon
2010-05-23,5/17/2010,5/23/2010,1642,386,9,2.33160621761658,Cameroon
2010-05-30,5/24/2010,5/30/2010,1498,477,11,2.3060796645702304,Cameroon
2010-06-06,5/31/2010,6/6/2010,1547,609,13,2.134646962233169,Cameroon
2010-06-13,6/7/2010,6/13/2010,960,358,9,2.5139664804469275,Cameroon
2010-06-20,6/14/2010,6/20/2010,1347,489,11,2.2494887525562373,Cameroon
2010-06-27,6/21/2010,6/27/2010,1957,665,12,1.8045112781954888,Cameroon
2010-07-04,6/28/2010,7/4/2010,1121,527,12,2.2770398481973433,Cameroon
2010-07-11,7/5/2010,7/11/2010,1555,535,14,2.6168224299065423,Cameroon
2010-07-18,7/12/2010,7/18/2010,2501,961,20,2.081165452653486,Cameroon
2010-07-25,7/19/2010,7/25/2010,3429,944,25,2.6483050847457625,Cameroon
2010-08-01,7/26/2010,8/1/2010,1719,488,9,1.8442622950819672,Cameroon
2010-08-08,8/2/2010,8/8/2010,3200,878,30,3.416856492027335,Cameroon
2010-08-15,8/9/2010,8/15/2010,2645,750,18,2.4,Cameroon
2010-08-22,8/16/2010,8/22/2010,2914,999,36,3.6036036036036037,Cameroon
2010-08-29,8/23/2010,8/29/2010,2180,690,28,4.057971014492753,Cameroon
2010-09-05,8/30/2010,9/5/2010,2932,921,29,3.1487513572204127,Cameroon
2010-09-12,9/6/2010,9/12/2010,2561,898,32,3.5634743875278394,Cameroon
2010-09-19,9/13/2010,9/19/2010,2472,884,20,2.262443438914027,Cameroon
2010-09-26,9/20/2010,9/26/2010,3007,1151,25,2.172024326672459,Cameroon
2010-10-03,5/6/2010,10/3/2010,7633,2164,76,3.512014787430684,Cameroon
2010-10-03,9/27/2010,10/3/2010,1900,522,10,1.9157088122605364,Cameroon
2010-10-10,10/4/2010,10/10/2010,2588,663,17,2.564102564102564,Cameroon
2010-10-17,10/11/2010,10/17/2010,2271,882,27,3.061224489795918,Cameroon
2010-10-24,10/18/2010,10/24/2010,2949,894,16,1.7897091722595078,Cameroon
2010-10-25,4/1/2010,10/25/2010,362,147,10,6.802721088435375,Cameroon
2010-10-31,10/25/2010,10/31/2010,3251,1214,24,1.9769357495881383,Cameroon
2010-11-07,11/1/2010,11/7/2010,1792,618,17,2.750809061488673,Cameroon
