TL,TR,sCh,cCh,deaths,region_en,district
2017-01-09,2017-01-15,0.0,,0.0,Far North,Goulfey Health District
2014-06-09,2014-06-15,0.0,,0.0,North-West,Batibo Health District
2010-03-08,2010-03-14,0.0,,0.0,East,Kette Health District
2015-12-14,2015-12-20,0.0,,0.0,Far North,Mada Health District
2016-01-11,2016-01-17,0.0,,0.0,South,Ambam Health District
2017-06-12,2017-06-18,0.0,,0.0,Centre,Djoungolo Health District
2016-11-28,2016-12-04,0.0,,0.0,North,Ngong Health District
2016-11-28,2016-12-04,0.0,,0.0,North,Poli Health District
2016-11-28,2016-12-04,0.0,,0.0,North,Touboro Health District
2016-11-28,2016-12-04,0.0,,0.0,Littoral,Bangue Health District
2015-09-28,2015-10-04,0.0,,0.0,Littoral,Pouma Health District
2015-09-28,2015-10-04,0.0,,0.0,East,Batouri Health District
2015-09-28,2015-10-04,0.0,,0.0,East,Kette Health District
2014-04-14,2014-04-20,0.0,,0.0,West,Galim Health District
2017-11-20,2017-11-26,0.0,,0.0,Far North,Makary Health District
2018-12-10,2018-12-16,0.0,,,Littoral,Bonassama Health District
2019-09-09,2019-09-15,2.0,,,North,Garoua 2 Health District
2019-05-13,2019-05-19,0.0,,,South,Lolodorf Health District
2019-05-13,2019-05-19,0.0,,,North,Golombe Health District
2019-05-13,2019-05-19,0.0,,,North,Poli Health District
2019-05-13,2019-05-19,0.0,,,Littoral,Japoma Health District
2019-05-13,2019-05-19,0.0,,,Littoral,Ndom Health District
2019-05-13,2019-05-19,0.0,,,East,Abong Mbang Health District
2019-05-13,2019-05-19,0.0,,,East,Kette Health District
2019-05-13,2019-05-19,0.0,,,Far North,Guere Health District
2013-06-03,2013-06-09,0.0,,0.0,West,Foumbot Health District
2015-08-10,2015-08-16,0.0,,0.0,North-West,Nwa Health District
2015-08-10,2015-08-16,0.0,,0.0,North-West,Oku Health District
2015-08-10,2015-08-16,0.0,,0.0,North-West,Santa Health District
2015-08-10,2015-08-16,0.0,,0.0,North-West,Tubah Health District
2015-08-10,2015-08-16,0.0,,0.0,North-West,Wum Health District
2013-03-04,2013-03-10,0.0,,0.0,East,Ndelele Health District
2013-03-04,2013-03-10,0.0,,0.0,East,Nguelemendouka Health District
2013-05-06,2013-05-12,0.0,,0.0,West,Dschang Health District
2013-05-06,2013-05-12,0.0,,0.0,West,Foumban Health District
2013-05-06,2013-05-12,0.0,,0.0,West,Foumbot Health District
2016-10-10,2016-10-16,0.0,,0.0,North,Touboro Health District
2016-10-10,2016-10-16,0.0,,0.0,Littoral,Abo Health District
2019-02-11,2019-02-17,0.0,,0.0,Centre,Cite Verte Health District
2019-02-11,2019-02-17,0.0,,0.0,Centre,Nkolndongo Health District
2019-02-11,2019-02-17,0.0,,0.0,Centre,Biyem Assi Health District
2015-06-29,2015-07-05,0.0,,0.0,South-West,Nguti Health District
2012-09-24,2012-09-30,0.0,,0.0,East,Garoua Boulai Health District
2012-09-24,2012-09-30,0.0,,0.0,East,Kette Health District
2010-08-09,2010-08-15,0.0,,0.0,South,Djoum Health District
2017-07-24,2017-07-30,0.0,,0.0,Far North,Roua Health District
