Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Precision,Recall,Time Taken
SVC,0.7419354838709677,0.7416985013223627,,0.7420059025540886,0.7456597547698302,0.7419354838709677,0.20036602020263672
ExtraTreesClassifier,0.7217741935483871,0.7211773924968167,0.8634167167202536,0.7188031107220861,0.7175089605734767,0.7217741935483871,0.44683074951171875
RandomForestClassifier,0.7096774193548387,0.7091781761191106,0.8720902672272669,0.7081181194735415,0.707248900293255,0.7096774193548387,0.47904229164123535
BaggingClassifier,0.7056451612903226,0.7052600646488393,0.8476335694684898,0.7043286342362121,0.704803338992643,0.7056451612903226,0.15035510063171387
LogisticRegression,0.7056451612903226,0.705211088255461,0.8622958108092194,0.7045343511803878,0.7044172896756759,0.7056451612903226,0.09175276756286621
NuSVC,0.7056451612903226,0.7051621118620824,,0.7038634658664665,0.7030926404264983,0.7056451612903226,0.15396356582641602
CalibratedClassifierCV,0.6975806451612904,0.6967871485943776,0.8449615176247512,0.6903925357178973,0.6927112171083577,0.6975806451612904,0.19054365158081055
LGBMClassifier,0.6935483870967742,0.6930159663042413,0.8554155036568563,0.691027187176541,0.6897068922759962,0.6935483870967742,0.4924192428588867
LinearSVC,0.6854838709677419,0.6844450974630227,,0.6721133346350968,0.6799668512118109,0.6854838709677419,0.07018327713012695
XGBClassifier,0.6693548387096774,0.668821627975316,0.8444197611560612,0.6679339477726575,0.6668783146012748,0.6693548387096774,0.8438386917114258
AdaBoostClassifier,0.6612903225806451,0.6614751689685572,0.8368995777832738,0.6653005460886623,0.6903244378132004,0.6612903225806451,0.3196690082550049
LabelSpreading,0.657258064516129,0.6567244588108532,,0.6569937998532916,0.6567584769869717,0.657258064516129,0.09823894500732422
RidgeClassifier,0.657258064516129,0.6562836712704476,,0.6448794952781904,0.6531039026370097,0.657258064516129,0.044583797454833984
RidgeClassifierCV,0.657258064516129,0.6562836712704476,,0.6450341470091255,0.6516299520271143,0.657258064516129,0.04014229774475098
LinearDiscriminantAnalysis,0.6532258064516129,0.6530512293074738,0.8384274635197683,0.657736684603303,0.6668859517257067,0.6532258064516129,0.09738016128540039
KNeighborsClassifier,0.6491935483870968,0.6487413066901754,0.8071705443474779,0.6503542990722477,0.6519778845695106,0.6491935483870968,0.07067656517028809
LabelPropagation,0.6491935483870968,0.648692330296797,,0.6497067448680351,0.6502516754666187,0.6491935483870968,0.09916043281555176
PassiveAggressiveClassifier,0.6451612903225806,0.6440885493192282,,0.6288916177520086,0.6367319508448541,0.6451612903225806,0.0382080078125
QuadraticDiscriminantAnalysis,0.6411290322580645,0.6405622489959839,0.8169858318906122,0.6396209785858623,0.6437655103784137,0.6411290322580645,0.04038667678833008
NearestCentroid,0.6330645161290323,0.6325790968753061,0.7965622018867259,0.6318904174573056,0.6311820826559426,0.6330645161290323,0.05006670951843262
SGDClassifier,0.6008064516129032,0.6004016064257028,,0.6006996123467263,0.601635272334197,0.6008064516129032,0.06964802742004395
DecisionTreeClassifier,0.5967741935483871,0.5959447546282691,0.6976268711208471,0.58959333818417,0.5865114358251269,0.5967741935483871,0.062485456466674805
BernoulliNB,0.592741935483871,0.5916348320109707,0.7728630798855245,0.5752038166707477,0.581054020398482,0.592741935483871,0.06273841857910156
GaussianNB,0.5887096774193549,0.5879616025075913,0.7855991414337702,0.5822551805278354,0.5912129724554708,0.5887096774193549,0.05461621284484863
Perceptron,0.5846774193548387,0.5841414438240767,,0.5834119372365623,0.5826903053492137,0.5846774193548387,0.031902313232421875
ExtraTreeClassifier,0.5685483870967742,0.5679792340092076,0.6765607886089813,0.567869667541069,0.5676992392850055,0.5685483870967742,0.0632171630859375
DummyClassifier,0.33064516129032256,0.3333333333333333,0.5,0.16432062561094818,0.10932622268470343,0.33064516129032256,0.04582405090332031
