Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Precision,Recall,Time Taken
SVC,0.7298387096774194,0.7293564501910078,,0.7274257668233924,0.7276552358498248,0.7298387096774194,0.0975351333618164
RandomForestClassifier,0.717741935483871,0.71711235184641,0.867158148723928,0.7140211401501724,0.7127871904761464,0.717741935483871,0.2857942581176758
LinearDiscriminantAnalysis,0.7137096774193549,0.7131452639827603,0.8589196963808312,0.7101228108437982,0.7100181962408247,0.7137096774193549,0.03143954277038574
XGBClassifier,0.7056451612903226,0.7050151826819473,0.8651638813317787,0.7011419457743494,0.7015086524222995,0.7056451612903226,0.2934379577636719
LogisticRegression,0.7056451612903226,0.7049172298951905,0.8601504257499204,0.6990797386821886,0.6991321371413871,0.7056451612903226,0.04132866859436035
LGBMClassifier,0.7016129032258065,0.7009501420315408,0.8704518955587746,0.6965099096631195,0.6958386796408914,0.7016129032258065,0.23653817176818848
NuSVC,0.6935483870967742,0.6929669899108631,,0.689061930620958,0.689146505376344,0.6935483870967742,0.12661027908325195
KNeighborsClassifier,0.6854838709677419,0.68483690861005,0.8342742671566029,0.6827028455703472,0.6810742340757604,0.6854838709677419,0.030266523361206055
ExtraTreesClassifier,0.6854838709677419,0.6847389558232932,0.8442378016464686,0.6796733963280973,0.6781889938303025,0.6854838709677419,0.2276759147644043
BaggingClassifier,0.6814516129032258,0.6808208443530219,0.8426602303642723,0.6784522904576451,0.6769893678886553,0.6814516129032258,0.07025384902954102
CalibratedClassifierCV,0.6814516129032258,0.680233127632481,0.8475348608510287,0.662454421325389,0.6719422649448252,0.6814516129032258,0.08789348602294922
LinearSVC,0.6693548387096774,0.6679890292878832,,0.644603748822769,0.6571169747846318,0.6693548387096774,0.03091263771057129
AdaBoostClassifier,0.6612903225806451,0.6613772161818005,0.7797782037239869,0.6669133223497657,0.6842004432699029,0.6612903225806451,0.1360461711883545
NearestCentroid,0.6612903225806451,0.6607894994612598,0.8163968189473435,0.6598624627006868,0.6618921295173417,0.6612903225806451,0.03131747245788574
RidgeClassifierCV,0.6612903225806451,0.659956900773827,,0.6377039039589443,0.6490599820329648,0.6612903225806451,0.025452613830566406
RidgeClassifier,0.6612903225806451,0.659956900773827,,0.6377039039589443,0.6490599820329648,0.6612903225806451,0.022678613662719727
DecisionTreeClassifier,0.6532258064516129,0.6529043001273386,0.7401606425702811,0.6547293047309372,0.6588744115380853,0.6532258064516129,0.035291194915771484
ExtraTreeClassifier,0.6370967741935484,0.6366441375257126,0.7279299014238774,0.6353250928715489,0.6344182273434238,0.6370967741935484,0.023210525512695312
LabelSpreading,0.6330645161290323,0.632432167695171,0.8103014698088542,0.6292698229190165,0.6322235301676465,0.6330645161290323,0.08039021492004395
LabelPropagation,0.625,0.6243020863943579,0.8096996490360268,0.6207104791220757,0.6224906195005853,0.625,0.0609431266784668
Perceptron,0.5967741935483871,0.595797825448134,,0.5818962901419644,0.5911858747706656,0.5967741935483871,0.022891759872436523
SGDClassifier,0.592741935483871,0.5914389264374571,,0.5691058633254534,0.5720211795682583,0.592741935483871,0.03484058380126953
BernoulliNB,0.5887096774193549,0.5878146733274562,0.7657286771720312,0.5776692111133702,0.5840226964287408,0.5887096774193549,0.02949213981628418
PassiveAggressiveClassifier,0.5685483870967742,0.567783328435694,,0.5605453479052993,0.5657973420981348,0.5685483870967742,0.026184797286987305
GaussianNB,0.5685483870967742,0.5670976589283966,0.7612923836106892,0.525334813792253,0.5948485318444996,0.5685483870967742,0.02084207534790039
DummyClassifier,0.33064516129032256,0.3333333333333333,0.5,0.16432062561094818,0.10932622268470343,0.33064516129032256,0.02281498908996582
