Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Precision,Recall,Time Taken
RandomForestClassifier,0.7479674796747967,0.7479674796747967,0.8860053539559785,0.7467384530680897,0.7462586370632347,0.7479674796747967,0.3065352439880371
ExtraTreesClassifier,0.7113821138211383,0.7113821138211383,0.8531999801705333,0.7076545005800716,0.7085332000888296,0.7113821138211383,0.23855352401733398
AdaBoostClassifier,0.7113821138211383,0.7113821138211381,0.8380428316478286,0.7132560268501332,0.7168216558570081,0.7113821138211383,0.16968178749084473
NuSVC,0.7032520325203252,0.7032520325203252,,0.699689518982718,0.7025173174292548,0.7032520325203252,0.12485432624816895
LGBMClassifier,0.6951219512195121,0.6951219512195123,0.8676135236962126,0.6910779823815393,0.6896366246516598,0.6951219512195121,0.3479738235473633
SVC,0.6869918699186992,0.6869918699186992,,0.6834814714170278,0.6882159624413144,0.6869918699186992,0.0899960994720459
BaggingClassifier,0.6747967479674797,0.6747967479674797,0.8473378941106485,0.6726855792284117,0.6715835604724494,0.6747967479674797,0.10310578346252441
LogisticRegression,0.6747967479674797,0.6747967479674797,0.8458506841165973,0.6670733456193184,0.6693302241616567,0.6747967479674797,0.04463982582092285
XGBClassifier,0.6707317073170732,0.6707317073170732,0.8715298433472138,0.6671929026387625,0.6666446098704163,0.6707317073170732,0.4126448631286621
CalibratedClassifierCV,0.6504065040650406,0.6504065040650406,0.8385385683125124,0.6302497578056904,0.6488425925925926,0.6504065040650406,0.07969880104064941
LinearDiscriminantAnalysis,0.6504065040650406,0.6504065040650406,0.8162799920682134,0.6445752944315163,0.6457464439302838,0.6504065040650406,0.03372311592102051
KNeighborsClassifier,0.6260162601626016,0.6260162601626017,0.7907991275034701,0.623830311643138,0.622192513368984,0.6260162601626016,0.03559708595275879
LinearSVC,0.6178861788617886,0.6178861788617885,,0.5914255469863026,0.6079904789582209,0.6178861788617886,0.037595272064208984
RidgeClassifier,0.6097560975609756,0.6097560975609756,,0.5850849098602628,0.6095222120373083,0.6097560975609756,0.01587057113647461
RidgeClassifierCV,0.6056910569105691,0.605691056910569,,0.5795107541131118,0.6035992992514732,0.6056910569105691,0.028570175170898438
LabelSpreading,0.5975609756097561,0.5975609756097561,0.7697922863374975,0.5925139816300197,0.5941929147369827,0.5975609756097561,0.08542251586914062
LabelPropagation,0.5975609756097561,0.5975609756097561,0.7689123537576839,0.5925139816300197,0.5941929147369827,0.5975609756097561,0.09500932693481445
DecisionTreeClassifier,0.5934959349593496,0.5934959349593497,0.6951219512195121,0.5966268959817769,0.6011948479035352,0.5934959349593496,0.03223419189453125
NearestCentroid,0.5894308943089431,0.5894308943089431,0.7824459647035495,0.5719768224142283,0.5888059153523071,0.5894308943089431,0.0329899787902832
BernoulliNB,0.5813008130081301,0.5813008130081302,0.7628147927820741,0.5551864801864802,0.5777599145138216,0.5813008130081301,0.01374959945678711
ExtraTreeClassifier,0.5609756097560976,0.5609756097560976,0.6707317073170732,0.5604763720896444,0.5610209730534008,0.5609756097560976,0.03223443031311035
SGDClassifier,0.5609756097560976,0.5609756097560976,,0.5637521898391464,0.5688452846476529,0.5609756097560976,0.03662705421447754
Perceptron,0.5365853658536586,0.5365853658536586,,0.5358439131966246,0.5517973856209151,0.5365853658536586,0.026602983474731445
GaussianNB,0.524390243902439,0.524390243902439,0.7520573071584375,0.4623687423687424,0.5004398148148148,0.524390243902439,0.021799087524414062
PassiveAggressiveClassifier,0.5,0.5,,0.4979614998953203,0.505552179015248,0.5,0.03150439262390137
DummyClassifier,0.3333333333333333,0.3333333333333333,0.5,0.16666666666666666,0.1111111111111111,0.3333333333333333,0.015754222869873047
