Year,sCh,cCh,CFR,REF_AREA,Population_Density,ISO3,Country,Residence Type,Service Type,Coverage,Population,Quintile,Service level
1971,2167,1001,7.99,CMR,14.013682807641048,,,,,,,,
1972,0,0,,CMR,14.399678449789512,,,,,,,,
1973,206,0,,CMR,14.801167734974932,,,,,,,,
1974,0,0,,CMR,15.217750840896109,,,,,,,,
1975,0,0,,CMR,15.648325611897356,,,,,,,,
1976,135,52,7.69,CMR,16.07319921304817,,,,,,,,
1978,25,8,0.0,CMR,16.948913710308645,,,,,,,,
1979,16,8,0.0,CMR,17.430646696706226,,,,,,,,
1980,229,0,,CMR,18.0072750735123,,,,,,,,
1981,0,0,,CMR,18.65070973747118,,,,,,,,
1982,8,4,0.0,CMR,19.099824416661377,,,,,,,,
1983,55,30,6.67,CMR,19.494821349241608,,,,,,,,
1984,392,137,7.3,CMR,20.04416661378012,,,,,,,,
1985,1158,0,,CMR,20.650568001523133,,,,,,,,
1986,165,0,,CMR,21.282270313723,,,,,,,,
1987,94,0,,CMR,21.9389244991644,,,,,,,,
1988,26,6,0.0,CMR,22.60364282541093,,,,,,,,
1989,23,11,0.0,CMR,23.275887965137187,,,,,,,,
1990,32,0,,CMR,23.97203570899706,,,,,,,,
1991,4026,1910,7.96,CMR,24.681474900044424,,,,,,,,
1992,1268,471,7.86,CMR,25.39898246282076,,,,,,,,
1993,0,0,,CMR,26.132578113431062,,,,,,,,
1994,527,255,7.84,CMR,26.87673838082545,,,,,,,,
1995,615,292,7.19,CMR,27.62479321359819,,,,,,,,
1996,5796,1773,7.95,CMR,28.37840748027332,,,,,,,,
1997,1709,798,7.89,CMR,29.14094053436568,,,,,,,,
1998,4603,0,,CMR,29.92291256795921,,,,,,,,
1999,1584,527,6.64,CMR,30.72738042351548,,,,,,,,
2000,123,0,,CMR,31.54710287491274,,,,,,,,
2001,259,68,7.35,CMR,32.38664297349326,,,,,,,,
2002,66,20,5.0,CMR,33.26675551606694,,,,,,,,
2003,207,96,7.29,CMR,34.186583740559755,,,,,,,,
2004,230,0,,CMR,35.13885257345942,,,,,,,,
2005,2847,1138,8.0,CMR,36.12065325463815,,,,,,,,
