region_en,TL,TR,Location,deaths,sCh,cCh
Adamawa,2010-01-04,2010-01-10,8,0.0,0.0,0.0
Adamawa,2010-01-11,2010-01-17,8,0.0,0.0,0.0
Adamawa,2010-01-18,2010-01-24,8,0.0,0.0,0.0
Adamawa,2010-01-25,2010-01-31,8,0.0,0.0,0.0
Adamawa,2010-02-01,2010-02-07,8,0.0,0.0,0.0
Adamawa,2010-02-08,2010-02-14,8,0.0,0.0,0.0
Adamawa,2010-02-15,2010-02-21,8,0.0,0.0,0.0
Adamawa,2010-02-22,2010-02-28,8,0.0,0.0,0.0
Adamawa,2010-03-01,2010-03-07,8,0.0,0.0,0.0
Adamawa,2010-03-08,2010-03-14,8,0.0,0.0,0.0
Adamawa,2010-03-15,2010-03-21,8,0.0,0.0,0.0
Adamawa,2010-03-22,2010-03-28,8,0.0,0.0,0.0
Adamawa,2010-03-29,2010-04-04,8,0.0,0.0,0.0
Adamawa,2010-04-05,2010-04-11,8,0.0,0.0,0.0
Adamawa,2010-04-12,2010-04-18,8,0.0,0.0,0.0
Adamawa,2010-04-19,2010-04-25,8,0.0,0.0,0.0
Adamawa,2010-04-26,2010-05-02,8,0.0,0.0,0.0
Adamawa,2010-05-03,2010-05-09,8,0.0,0.0,0.0
Adamawa,2010-05-06,2010-12-31,1,0.0,1.0,0.0
Adamawa,2010-05-10,2010-05-16,8,0.0,0.0,0.0
Adamawa,2010-05-17,2010-05-23,8,0.0,0.0,0.0
Adamawa,2010-05-24,2010-05-30,8,0.0,0.0,0.0
Adamawa,2010-05-31,2010-06-06,8,0.0,0.0,0.0
Adamawa,2010-06-07,2010-06-13,8,0.0,0.0,0.0
Adamawa,2010-06-14,2010-06-20,8,0.0,0.0,0.0
Adamawa,2010-06-21,2010-06-27,8,0.0,0.0,0.0
Adamawa,2010-06-28,2010-07-04,8,0.0,0.0,0.0
Adamawa,2010-07-05,2010-07-11,8,0.0,0.0,0.0
Adamawa,2010-07-12,2010-07-18,8,0.0,0.0,0.0
Adamawa,2010-07-19,2010-07-25,8,0.0,0.0,0.0
Adamawa,2010-07-26,2010-08-01,8,0.0,0.0,0.0
Adamawa,2010-08-02,2010-08-08,8,0.0,0.0,0.0
Adamawa,2010-08-09,2010-08-15,8,0.0,0.0,0.0
Adamawa,2010-08-16,2010-08-22,8,0.0,0.0,0.0
Adamawa,2010-08-23,2010-08-29,8,0.0,0.0,0.0
Adamawa,2010-08-30,2010-09-05,8,0.0,0.0,0.0
Adamawa,2010-09-06,2010-09-12,8,0.0,0.0,0.0
Adamawa,2010-09-13,2010-09-19,8,0.0,0.0,0.0
Adamawa,2010-09-20,2010-09-26,8,0.0,0.0,0.0
Adamawa,2010-09-27,2010-10-03,8,0.0,1.0,0.0
Adamawa,2010-10-04,2010-10-10,8,0.0,0.0,0.0
Adamawa,2010-10-11,2010-10-17,8,0.0,0.0,0.0
Adamawa,2010-10-18,2010-10-24,8,0.0,0.0,0.0
Adamawa,2010-10-25,2010-10-31,8,0.0,0.0,0.0
Adamawa,2010-11-01,2010-11-07,8,0.0,0.0,0.0
Adamawa,2010-11-08,2010-11-14,8,0.0,0.0,0.0
Adamawa,2010-11-15,2010-11-21,8,0.0,0.0,0.0
Adamawa,2010-11-22,2010-11-28,8,0.0,0.0,0.0
Adamawa,2010-11-29,2010-12-05,8,0.0,0.0,0.0
Adamawa,2010-12-06,2010-12-12,8,0.0,0.0,0.0
Adamawa,2010-12-13,2010-12-19,8,0.0,0.0,0.0
Adamawa,2010-12-20,2010-12-26,8,0.0,0.0,0.0
Adamawa,2010-12-27,2011-01-02,8,0.0,0.0,0.0
Adamawa,2011-01-01,2011-09-22,5,34.0,366.0,0.0
Adamawa,2011-01-03,2011-01-09,8,0.0,0.0,0.0
Adamawa,2011-01-10,2011-01-16,8,0.0,0.0,0.0
Adamawa,2011-01-17,2011-01-23,8,0.0,0.0,0.0
Adamawa,2011-01-24,2011-01-30,8,0.0,0.0,0.0
Adamawa,2011-01-31,2011-02-06,8,0.0,0.0,0.0
Adamawa,2011-02-07,2011-02-13,8,0.0,0.0,0.0
Adamawa,2011-02-14,2011-02-20,8,0.0,0.0,0.0
Adamawa,2011-02-21,2011-02-27,8,0.0,0.0,0.0
Adamawa,2011-02-28,2011-03-06,8,0.0,0.0,0.0
Adamawa,2011-03-07,2011-03-13,8,0.0,0.0,0.0
Adamawa,2011-03-14,2011-03-20,8,0.0,0.0,0.0
Adamawa,2011-03-21,2011-03-27,8,0.0,1.0,0.0
Adamawa,2011-03-28,2011-04-03,8,0.0,0.0,0.0
Adamawa,2011-04-04,2011-04-10,8,0.0,0.0,0.0
Adamawa,2011-04-11,2011-04-17,8,0.0,0.0,0.0
Adamawa,2011-04-18,2011-04-24,8,5.0,6.0,0.0
Adamawa,2011-04-25,2011-05-01,8,6.0,29.0,0.0
Adamawa,2011-05-02,2011-05-08,8,1.0,3.0,0.0
Adamawa,2011-05-09,2011-05-15,8,0.0,4.0,0.0
Adamawa,2011-05-16,2011-05-22,8,0.0,0.0,0.0
Adamawa,2011-05-23,2011-05-29,8,1.0,2.0,0.0
Adamawa,2011-05-30,2011-06-05,8,0.0,0.0,0.0
Adamawa,2011-06-06,2011-06-12,8,0.0,0.0,0.0
Adamawa,2011-06-13,2011-06-19,8,0.0,0.0,0.0
Adamawa,2011-06-20,2011-06-26,8,0.0,0.0,0.0
Adamawa,2011-06-27,2011-07-03,8,1.0,2.0,0.0
Adamawa,2011-07-04,2011-07-10,8,0.0,2.0,0.0
Adamawa,2011-07-11,2011-07-17,8,0.0,24.0,0.0
Adamawa,2011-07-18,2011-07-24,8,2.0,25.0,0.0
Adamawa,2011-07-25,2011-07-31,8,1.0,33.0,0.0
Adamawa,2011-08-01,2011-08-07,8,0.0,17.0,0.0
Adamawa,2011-08-08,2011-08-14,8,0.0,18.0,0.0
Adamawa,2011-08-15,2011-08-21,8,0.0,4.0,0.0
Adamawa,2011-08-22,2011-08-28,8,0.0,18.0,0.0
Adamawa,2011-08-29,2011-09-04,8,0.0,0.0,0.0
Adamawa,2011-09-05,2011-09-11,8,0.0,4.0,0.0
Adamawa,2011-09-12,2011-09-18,8,0.0,3.0,0.0
Adamawa,2011-09-19,2011-09-25,8,1.0,3.0,0.0
Adamawa,2011-09-23,2011-12-11,1,0.0,16.0,0.0
Adamawa,2011-09-26,2011-10-02,8,0.0,1.0,0.0
Adamawa,2011-10-03,2011-10-09,8,0.0,1.0,0.0
Adamawa,2011-10-10,2011-10-16,8,0.0,0.0,0.0
Adamawa,2011-10-17,2011-10-23,8,0.0,0.0,0.0
Adamawa,2011-10-24,2011-10-30,8,0.0,0.0,0.0
Adamawa,2011-10-31,2011-11-06,8,0.0,0.0,0.0
Adamawa,2011-11-07,2011-11-13,8,0.0,0.0,0.0
Adamawa,2011-11-14,2011-11-20,8,0.0,0.0,0.0
Adamawa,2011-11-21,2011-11-27,8,0.0,0.0,0.0
Adamawa,2011-11-28,2011-12-04,8,0.0,0.0,0.0
Adamawa,2011-12-05,2011-12-11,8,0.0,0.0,0.0
Adamawa,2011-12-12,2011-12-18,8,0.0,0.0,0.0
Adamawa,2011-12-19,2011-12-25,8,0.0,1.0,0.0
Adamawa,2011-12-26,2012-01-01,8,0.0,0.0,0.0
Adamawa,2012-01-02,2012-01-08,8,0.0,0.0,0.0
Adamawa,2012-01-09,2012-01-15,8,0.0,1.0,0.0
Adamawa,2012-01-16,2012-01-22,8,0.0,0.0,0.0
Adamawa,2012-01-23,2012-01-29,8,0.0,0.0,0.0
Adamawa,2012-01-30,2012-02-05,8,0.0,0.0,0.0
Adamawa,2012-02-06,2012-02-12,8,0.0,0.0,0.0
Adamawa,2012-02-13,2012-02-19,8,0.0,0.0,0.0
Adamawa,2012-02-20,2012-02-26,8,0.0,0.0,0.0
Adamawa,2012-02-27,2012-03-04,8,0.0,0.0,0.0
Adamawa,2012-03-05,2012-03-11,8,0.0,0.0,0.0
Adamawa,2012-03-12,2012-03-18,8,0.0,0.0,0.0
Adamawa,2012-03-19,2012-03-25,8,0.0,0.0,0.0
Adamawa,2012-03-26,2012-04-01,8,0.0,0.0,0.0
Adamawa,2012-04-02,2012-04-08,8,0.0,0.0,0.0
Adamawa,2012-04-09,2012-04-15,8,0.0,1.0,0.0
Adamawa,2012-04-16,2012-04-22,8,0.0,0.0,0.0
Adamawa,2012-04-23,2012-04-29,8,0.0,0.0,0.0
Adamawa,2012-04-30,2012-05-06,8,0.0,0.0,0.0
Adamawa,2012-05-07,2012-05-13,8,0.0,0.0,0.0
Adamawa,2012-05-14,2012-05-20,8,0.0,0.0,0.0
Adamawa,2012-05-21,2012-05-27,8,0.0,0.0,0.0
Adamawa,2012-05-28,2012-06-03,8,0.0,0.0,0.0
Adamawa,2012-06-04,2012-06-10,8,0.0,0.0,0.0
Adamawa,2012-06-11,2012-06-17,8,0.0,0.0,0.0
Adamawa,2012-06-18,2012-06-24,8,0.0,0.0,0.0
Adamawa,2012-06-25,2012-07-01,8,0.0,0.0,0.0
Adamawa,2012-07-02,2012-07-08,8,0.0,0.0,0.0
Adamawa,2012-07-09,2012-07-15,8,0.0,0.0,0.0
Adamawa,2012-07-16,2012-07-22,8,0.0,0.0,0.0
Adamawa,2012-07-23,2012-07-29,8,0.0,0.0,0.0
Adamawa,2012-07-30,2012-08-05,8,0.0,0.0,0.0
Adamawa,2012-08-06,2012-08-12,8,0.0,0.0,0.0
Adamawa,2012-08-13,2012-08-19,8,0.0,0.0,0.0
Adamawa,2012-08-20,2012-08-26,8,0.0,0.0,0.0
Adamawa,2012-08-27,2012-09-02,8,0.0,0.0,0.0
Adamawa,2012-09-03,2012-09-09,8,0.0,0.0,0.0
Adamawa,2012-09-10,2012-09-16,8,0.0,0.0,0.0
Adamawa,2012-09-17,2012-09-23,8,0.0,0.0,0.0
Adamawa,2012-09-24,2012-09-30,8,0.0,0.0,0.0
Adamawa,2012-10-01,2012-10-07,8,0.0,0.0,0.0
Adamawa,2012-10-08,2012-10-14,8,0.0,0.0,0.0
Adamawa,2012-10-15,2012-10-21,8,0.0,0.0,0.0
Adamawa,2012-10-22,2012-10-28,8,0.0,0.0,0.0
Adamawa,2012-10-29,2012-11-04,8,0.0,0.0,0.0
Adamawa,2012-11-05,2012-11-11,8,0.0,0.0,0.0
Adamawa,2012-11-12,2012-11-18,8,0.0,0.0,0.0
Adamawa,2012-11-19,2012-11-25,8,0.0,0.0,0.0
Adamawa,2012-11-26,2012-12-02,8,0.0,0.0,0.0
Adamawa,2012-12-03,2012-12-09,8,0.0,0.0,0.0
Adamawa,2012-12-10,2012-12-16,8,0.0,0.0,0.0
Adamawa,2012-12-17,2012-12-23,8,0.0,0.0,0.0
Adamawa,2012-12-24,2012-12-30,8,0.0,0.0,0.0
Adamawa,2012-12-31,2013-01-06,8,0.0,0.0,0.0
Adamawa,2013-01-07,2013-01-13,8,0.0,0.0,0.0
Adamawa,2013-01-14,2013-01-20,8,0.0,0.0,0.0
Adamawa,2013-01-21,2013-01-27,8,0.0,0.0,0.0
Adamawa,2013-01-28,2013-02-03,8,0.0,0.0,0.0
Adamawa,2013-02-04,2013-02-10,8,0.0,0.0,0.0
Adamawa,2013-02-11,2013-02-17,8,0.0,0.0,0.0
Adamawa,2013-02-18,2013-02-24,8,0.0,0.0,0.0
Adamawa,2013-02-25,2013-03-03,8,0.0,0.0,0.0
Adamawa,2013-03-04,2013-03-10,8,0.0,0.0,0.0
Adamawa,2013-03-11,2013-03-17,8,0.0,0.0,0.0
Adamawa,2013-03-18,2013-03-24,8,0.0,0.0,0.0
Adamawa,2013-03-25,2013-03-31,8,0.0,0.0,0.0
Adamawa,2013-04-01,2013-04-07,8,0.0,0.0,0.0
Adamawa,2013-04-08,2013-04-14,8,0.0,0.0,0.0
Adamawa,2013-04-15,2013-04-21,8,0.0,0.0,0.0
Adamawa,2013-04-22,2013-04-28,8,0.0,0.0,0.0
