Region,reporting_date,TL,TR,sCh,cCh,deaths,CFR,rainfall_avg,temperature_avg,humidity_avg
Far North,2018-11-02,2018-10-31,2018-11-02,91,42,0,0.0,0.0,27.599999999999998,50.82
North,2018-11-02,2018-10-31,2018-11-02,38,14,0,0.0,0.09333333333333334,27.646666666666665,67.37333333333333
Centre,2018-11-02,2018-08-27,2018-11-02,0,0,0,,8.009411764705884,23.082647058823532,88.48779411764706
Littoral,2018-11-02,2018-10-11,2018-11-02,0,0,0,,7.215217391304347,26.2504347826087,87.67695652173911
Adamaoua,2010-12-31,2010-05-06,2010-12-31,1,1,0,0.0,5.4405833333333335,21.958583333333333,78.03641666666667
Centre,2010-12-31,2010-05-06,2010-12-31,71,0,0,,5.045374999999999,23.036041666666666,86.10608333333333
East,2010-12-31,2010-05-06,2010-12-31,36,0,0,,5.092749999999999,22.832708333333336,82.40008333333334
Far North,2010-12-31,2010-05-06,2010-12-31,0,0,0,,3.1157083333333326,26.948708333333336,62.64750000000001
Littoral,2010-12-31,2010-05-06,2010-12-31,0,0,0,,7.061916666666667,25.512749999999997,88.85987500000002
North,2010-12-31,2010-05-06,2010-12-31,498,0,0,,4.2047083333333335,26.552583333333338,69.51154166666667
North-West,2010-12-31,2010-05-06,2010-12-31,22,11,0,0.0,6.692333333333333,20.281083333333335,84.31904166666666
West,2010-12-31,2010-05-06,2010-12-31,12,6,0,0.0,5.964791666666668,20.589458333333333,84.89508333333333
South,2010-12-31,2010-05-06,2010-12-31,0,0,0,,5.157500000000001,22.656499999999998,89.91125000000001
South-West,2010-12-31,2010-05-06,2010-12-31,355,107,8,7.48,8.35975,23.824499999999997,90.66850000000001
Adamaoua,2011-09-22,2011-01-01,2011-09-22,183,0,0,,4.001169811320755,23.077471698113207,65.95056603773585
Centre,2011-09-22,2011-01-01,2011-09-22,3133,977,78,7.98,4.280150943396227,23.459811320754717,83.12181132075472
East,2011-09-22,2011-01-01,2011-09-22,84,35,1,2.86,3.3004905660377353,23.811811320754718,75.43101886792454
Far North,2011-09-22,2011-01-01,2011-09-22,3661,2146,146,6.8,2.3299245283018872,28.505924528301886,44.620867924528305
Littoral,2011-09-22,2011-01-01,2011-09-22,2096,0,0,,7.749622641509436,25.699207547169813,88.20675471698114
North,2011-09-22,2011-01-01,2011-09-22,3591,0,0,,2.735169811320755,28.18539622641509,52.88003773584905
North-West,2011-09-22,2011-01-01,2011-09-22,142,73,5,6.85,5.594528301886793,20.79652830188679,79.0297358490566
West,2011-09-22,2011-01-01,2011-09-22,0,0,0,,5.463547169811322,20.979811320754717,81.40007547169812
South,2011-09-22,2011-01-01,2011-09-22,56,21,1,4.76,4.005207547169812,22.889962264150945,89.09354716981133
South-West,2011-09-22,2011-01-01,2011-09-22,3030,0,0,,9.85554716981132,24.213471698113207,88.69241509433961
Adamaoua,2011-12-11,2011-09-23,2011-12-11,28,0,0,,2.6161249999999994,21.436,70.44775
Centre,2011-12-11,2011-09-23,2011-12-11,529,198,15,7.58,3.4983750000000002,22.7135,83.267875
East,2011-12-11,2011-09-23,2011-12-11,42,18,1,5.56,3.4314999999999998,22.371875,78.32725
Far North,2011-12-11,2011-09-23,2011-12-11,68,36,2,5.56,0.49737500000000007,25.798749999999995,48.1155
Littoral,2011-12-11,2011-09-23,2011-12-11,3127,975,33,3.38,5.024249999999999,25.751624999999997,86.77837500000001
North,2011-12-11,2011-09-23,2011-12-11,985,370,29,7.84,1.0605,26.856249999999996,55.47950000000001
North-West,2011-12-11,2011-09-23,2011-12-11,0,0,0,,5.11675,19.8495,79.66712499999998
West,2011-12-11,2011-09-23,2011-12-11,40,24,1,4.17,4.0145,19.98675,82.317125
South,2011-12-11,2011-09-23,2011-12-11,110,74,4,5.41,4.6728749999999994,22.52275,89.0675
South-West,2011-12-11,2011-09-23,2011-12-11,71,0,0,,5.335500000000001,23.912750000000003,89.393375
(Centre|Far North|Littoral|North),2018-11-23,2018-05-18,2018-11-23,942,523,41,7.84,,,
Far North,2018-11-23,2018-11-18,2018-11-23,62,38,1,2.63,0.0,26.933333333333337,40.68
North,2018-11-23,2018-11-18,2018-11-23,12,7,0,0.0,0.0,27.123333333333335,59.714999999999996
Centre,2018-11-23,2018-08-27,2018-11-23,0,0,0,,6.543707865168539,23.263146067415732,87.73988764044944
Littoral,2018-11-23,2018-10-11,2018-11-23,0,0,0,,6.0465909090909085,26.47409090909091,87.6268181818182
Far North,2021-10-03,2021-01-01,2021-10-03,63,0,0,,1.9308695652173915,28.711920289855072,45.967971014492754
Littoral,2021-10-03,2021-01-01,2021-10-03,115,61,0,0.0,6.827463768115941,26.28800724637681,86.72300724637681
North,2021-10-03,2021-01-01,2021-10-03,1,1,0,0.0,3.6006521739130433,27.953260869565216,56.24173913043479
