Region,TL,TR,reporting_date,sCh,cCh,deaths,CFR
Adamaoua,2010-01-04,2010-01-10,2010-01-10,0,0,0,0.0
Adamaoua,2010-01-11,2010-01-17,2010-01-17,0,0,0,0.0
Adamaoua,2010-01-18,2010-01-24,2010-01-24,0,0,0,0.0
Adamaoua,2010-01-25,2010-01-31,2010-01-31,19,0,0,0.0
Adamaoua,2010-02-01,2010-02-07,2010-02-07,0,0,0,0.0
Adamaoua,2010-02-08,2010-02-14,2010-02-14,24,15,0,0.0
Adamaoua,2010-02-15,2010-02-21,2010-02-21,0,0,0,0.0
Adamaoua,2010-02-22,2010-02-28,2010-02-28,5,3,0,0.0
Adamaoua,2010-03-01,2010-03-07,2010-03-07,0,0,0,0.0
Adamaoua,2010-03-08,2010-03-14,2010-03-14,0,0,0,0.0
Adamaoua,2010-03-15,2010-03-21,2010-03-21,54,0,0,0.0
Adamaoua,2010-03-22,2010-03-28,2010-03-28,74,26,1,3.8461538461538463
Adamaoua,2010-03-29,2010-04-04,2010-04-04,0,0,0,0.0
Adamaoua,2010-04-05,2010-04-11,2010-04-11,156,46,1,2.1739130434782608
Adamaoua,2010-04-12,2010-04-18,2010-04-18,104,37,0,0.0
Adamaoua,2010-04-19,2010-04-25,2010-04-25,22,13,0,0.0
Adamaoua,2010-04-26,2010-05-02,2010-05-02,0,0,0,0.0
Adamaoua,2010-05-03,2010-05-09,2010-05-09,0,0,0,0.0
Adamaoua,2010-05-10,2010-05-16,2010-05-16,0,0,0,0.0
Adamaoua,2010-05-17,2010-05-23,2010-05-23,0,0,0,0.0
Adamaoua,2010-05-24,2010-05-30,2010-05-30,66,20,0,0.0
Adamaoua,2010-05-31,2010-06-06,2010-06-06,0,0,0,0.0
Adamaoua,2010-06-07,2010-06-13,2010-06-13,61,0,0,0.0
Adamaoua,2010-06-14,2010-06-20,2010-06-20,65,0,0,0.0
Adamaoua,2010-06-21,2010-06-27,2010-06-27,0,0,0,0.0
Adamaoua,2010-06-28,2010-07-04,2010-07-04,98,48,1,2.083333333333333
Adamaoua,2010-07-05,2010-07-11,2010-07-11,15,6,0,0.0
Adamaoua,2010-07-12,2010-07-18,2010-07-18,194,95,1,1.0526315789473684
Adamaoua,2010-07-19,2010-07-25,2010-07-25,23,0,0,0.0
Adamaoua,2010-07-26,2010-08-01,2010-08-01,0,0,0,0.0
Adamaoua,2010-08-02,2010-08-08,2010-08-08,107,39,1,2.564102564102564
Adamaoua,2010-08-09,2010-08-15,2010-08-15,0,0,0,0.0
Adamaoua,2010-08-16,2010-08-22,2010-08-22,0,0,0,0.0
Adamaoua,2010-08-23,2010-08-29,2010-08-29,53,5,0,0.0
Adamaoua,2010-08-30,2010-09-05,2010-09-05,0,0,0,0.0
Adamaoua,2010-09-06,2010-09-12,2010-09-12,48,25,1,4.0
Adamaoua,2010-09-13,2010-09-19,2010-09-19,13,6,0,0.0
Adamaoua,2010-09-20,2010-09-26,2010-09-26,19,9,0,0.0
Adamaoua,2010-09-27,2010-10-03,2010-10-03,31,0,0,0.0
Adamaoua,2010-10-04,2010-10-10,2010-10-10,0,0,0,0.0
Adamaoua,2010-10-11,2010-10-17,2010-10-17,0,0,0,0.0
Adamaoua,2010-10-18,2010-10-24,2010-10-24,0,0,0,0.0
Adamaoua,2010-10-25,2010-10-31,2010-10-31,23,8,0,0.0
Adamaoua,2010-11-01,2010-11-07,2010-11-07,36,19,0,0.0
Adamaoua,2010-11-08,2010-11-14,2010-11-14,0,0,0,0.0
Adamaoua,2010-11-15,2010-11-21,2010-11-21,49,24,1,4.166666666666666
Adamaoua,2010-11-22,2010-11-28,2010-11-28,0,0,0,0.0
Adamaoua,2010-11-29,2010-12-05,2010-12-05,41,0,0,0.0
Adamaoua,2010-12-06,2010-12-12,2010-12-12,26,13,0,0.0
Adamaoua,2010-12-13,2010-12-19,2010-12-19,0,0,0,0.0
Adamaoua,2010-12-20,2010-12-26,2010-12-26,0,0,0,0.0
Adamaoua,2010-12-27,2011-01-02,2011-01-02,23,6,0,0.0
Adamaoua,2011-01-01,2011-09-22,2011-09-22,197,72,4,5.555555555555555
Adamaoua,2011-01-03,2011-01-09,2011-01-09,34,16,0,0.0
Adamaoua,2011-01-10,2011-01-16,2011-01-16,48,0,0,0.0
Adamaoua,2011-01-17,2011-01-23,2011-01-23,26,8,0,0.0
Adamaoua,2011-01-24,2011-01-30,2011-01-30,0,0,0,0.0
Adamaoua,2011-01-31,2011-02-06,2011-02-06,0,0,0,0.0
Adamaoua,2011-02-07,2011-02-13,2011-02-13,0,0,0,0.0
Adamaoua,2011-02-14,2011-02-20,2011-02-20,0,0,0,0.0
Adamaoua,2011-02-21,2011-02-27,2011-02-27,0,0,0,0.0
Adamaoua,2011-02-28,2011-03-06,2011-03-06,0,0,0,0.0
Adamaoua,2011-03-07,2011-03-13,2011-03-13,0,0,0,0.0
Adamaoua,2011-03-14,2011-03-20,2011-03-20,49,16,0,0.0
Adamaoua,2011-03-21,2011-03-27,2011-03-27,7,3,0,0.0
Adamaoua,2011-03-28,2011-04-03,2011-04-03,23,14,0,0.0
Adamaoua,2011-04-04,2011-04-10,2011-04-10,0,0,0,0.0
Adamaoua,2011-04-11,2011-04-17,2011-04-17,43,13,0,0.0
Adamaoua,2011-04-18,2011-04-24,2011-04-24,101,15,0,0.0
Adamaoua,2011-04-25,2011-05-01,2011-05-01,56,17,1,5.88235294117647
Adamaoua,2011-05-02,2011-05-08,2011-05-08,0,0,0,0.0
Adamaoua,2011-05-09,2011-05-15,2011-05-15,70,13,0,0.0
Adamaoua,2011-05-16,2011-05-22,2011-05-22,0,0,0,0.0
Adamaoua,2011-05-23,2011-05-29,2011-05-29,34,0,0,0.0
Adamaoua,2011-05-30,2011-06-05,2011-06-05,87,31,1,3.225806451612903
Adamaoua,2011-06-06,2011-06-12,2011-06-12,41,18,0,0.0
Adamaoua,2011-06-13,2011-06-19,2011-06-19,68,0,0,0.0
Adamaoua,2011-06-20,2011-06-26,2011-06-26,44,26,1,3.8461538461538463
Adamaoua,2011-06-27,2011-07-03,2011-07-03,0,0,0,0.0
Adamaoua,2011-07-04,2011-07-10,2011-07-10,48,0,0,0.0
Adamaoua,2011-07-11,2011-07-17,2011-07-17,145,0,0,0.0
Adamaoua,2011-07-18,2011-07-24,2011-07-24,190,68,3,4.411764705882353
Adamaoua,2011-07-25,2011-07-31,2011-07-31,67,0,0,0.0
Adamaoua,2011-08-01,2011-08-07,2011-08-07,53,19,0,0.0
Adamaoua,2011-08-08,2011-08-14,2011-08-14,53,23,0,0.0
Adamaoua,2011-08-15,2011-08-21,2011-08-21,111,10,0,0.0
Adamaoua,2011-08-22,2011-08-28,2011-08-28,268,38,0,0.0
Adamaoua,2011-08-29,2011-09-04,2011-09-04,0,0,0,0.0
Adamaoua,2011-09-05,2011-09-11,2011-09-11,204,57,1,1.7543859649122806
Adamaoua,2011-09-12,2011-09-18,2011-09-18,118,13,0,0.0
Adamaoua,2011-09-19,2011-09-25,2011-09-25,22,12,0,0.0
Adamaoua,2011-09-26,2011-10-02,2011-10-02,225,96,1,1.0416666666666665
Adamaoua,2011-10-03,2011-10-09,2011-10-09,135,29,1,3.4482758620689653
Adamaoua,2011-10-10,2011-10-16,2011-10-16,67,23,0,0.0
Adamaoua,2011-10-17,2011-10-23,2011-10-23,129,39,0,0.0
Adamaoua,2011-10-24,2011-10-30,2011-10-30,0,0,0,0.0
Adamaoua,2011-10-31,2011-11-06,2011-11-06,0,0,0,0.0
Adamaoua,2011-11-07,2011-11-13,2011-11-13,91,15,0,0.0
Adamaoua,2011-11-14,2011-11-20,2011-11-20,0,0,0,0.0
Adamaoua,2011-11-21,2011-11-27,2011-11-27,51,32,0,0.0
Adamaoua,2011-11-28,2011-12-04,2011-12-04,0,0,0,0.0
Adamaoua,2011-12-05,2011-12-11,2011-12-11,0,0,0,0.0
Adamaoua,2011-12-12,2011-12-18,2011-12-18,0,0,0,0.0
Adamaoua,2011-12-19,2011-12-25,2011-12-25,49,17,0,0.0
Adamaoua,2011-12-26,2012-01-01,2012-01-01,0,0,0,0.0
Adamaoua,2012-01-02,2012-01-08,2012-01-08,28,0,0,0.0
