Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database,delete_flag,location_parts,Region
0.0,85719.0,85719.0,85721.0,AFR::CMR::Far North,2018-10-31,2018-11-02,0,91,42,0.0,2018-11-02,18.0,WHO AFRO Surveillance Report (UID: 21027),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 91 cases | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0.0,2.0,Far North
1.0,85720.0,85720.0,85722.0,AFR::CMR::North,2018-10-31,2018-11-02,0,38,14,0.0,2018-11-02,18.0,WHO AFRO Surveillance Report (UID: 21027),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 17 cases | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0.0,2.0,North
2.0,85721.0,85721.0,85723.0,AFR::CMR::Centre,2018-08-27,2018-11-02,0,0,0,,2018-11-02,18.0,WHO AFRO Surveillance Report (UID: 21027),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0.0,2.0,Centre
3.0,85722.0,85722.0,85724.0,AFR::CMR::Littoral,2018-10-11,2018-11-02,0,0,0,,2018-11-02,18.0,WHO AFRO Surveillance Report (UID: 21027),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0.0,2.0,Littoral
4.0,85731.0,85731.0,85735.0,AFR::CMR::Adamaoua,2010-05-06,2010-12-31,0,1,1,0.0,2010-12-31,34.0,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1 cases, 0 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0.0,2.0,Adamaoua
5.0,85732.0,85732.0,85736.0,AFR::CMR::Centre,2010-05-06,2010-12-31,0,71,0,,2010-12-31,34.0,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 46 cases, 2 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0.0,2.0,Centre
6.0,85733.0,85733.0,85737.0,AFR::CMR::East,2010-05-06,2010-12-31,0,36,0,,2010-12-31,34.0,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases, 0 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0.0,2.0,East
7.0,85734.0,85734.0,85738.0,AFR::CMR::Far North,2010-05-06,2010-12-31,0,0,0,,2010-12-31,34.0,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 9421 cases, 602 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0.0,2.0,Far North
8.0,85735.0,85735.0,85739.0,AFR::CMR::Littoral,2010-05-06,2010-12-31,0,0,0,,2010-12-31,34.0,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 456 cases, 17 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0.0,2.0,Littoral
9.0,85736.0,85736.0,85740.0,AFR::CMR::North,2010-05-06,2010-12-31,0,498,0,,2010-12-31,34.0,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 498 cases, 22 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0.0,2.0,North
10.0,85737.0,85737.0,85741.0,AFR::CMR::North-West,2010-05-06,2010-12-31,0,22,11,0.0,2010-12-31,34.0,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1 cases, 1 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0.0,2.0,North-West
