Region,reporting_date,TL,TR,sCh,cCh,deaths,CFR
Far North,2018-11-02,2018-10-31,2018-11-02,91,42,0,0.0
North,2018-11-02,2018-10-31,2018-11-02,38,14,0,0.0
Centre,2018-11-02,2018-08-27,2018-11-02,0,0,0,
Littoral,2018-11-02,2018-10-11,2018-11-02,0,0,0,
Adamaoua,2010-12-31,2010-05-06,2010-12-31,1,1,0,0.0
Centre,2010-12-31,2010-05-06,2010-12-31,71,0,0,
East,2010-12-31,2010-05-06,2010-12-31,36,0,0,
Far North,2010-12-31,2010-05-06,2010-12-31,0,0,0,
Littoral,2010-12-31,2010-05-06,2010-12-31,0,0,0,
North,2010-12-31,2010-05-06,2010-12-31,498,0,0,
North-West,2010-12-31,2010-05-06,2010-12-31,22,11,0,0.0
West,2010-12-31,2010-05-06,2010-12-31,12,6,0,0.0
South,2010-12-31,2010-05-06,2010-12-31,0,0,0,
South-West,2010-12-31,2010-05-06,2010-12-31,355,107,8,7.48
Adamaoua,2011-09-22,2011-01-01,2011-09-22,183,0,0,
Centre,2011-09-22,2011-01-01,2011-09-22,3133,977,78,7.98
East,2011-09-22,2011-01-01,2011-09-22,84,35,1,2.86
Far North,2011-09-22,2011-01-01,2011-09-22,3661,2146,146,6.8
Littoral,2011-09-22,2011-01-01,2011-09-22,2096,0,0,
North,2011-09-22,2011-01-01,2011-09-22,3591,0,0,
North-West,2011-09-22,2011-01-01,2011-09-22,142,73,5,6.85
West,2011-09-22,2011-01-01,2011-09-22,0,0,0,
South,2011-09-22,2011-01-01,2011-09-22,56,21,1,4.76
South-West,2011-09-22,2011-01-01,2011-09-22,3030,0,0,
Adamaoua,2011-12-11,2011-09-23,2011-12-11,28,0,0,
Centre,2011-12-11,2011-09-23,2011-12-11,529,198,15,7.58
East,2011-12-11,2011-09-23,2011-12-11,42,18,1,5.56
Far North,2011-12-11,2011-09-23,2011-12-11,68,36,2,5.56
Littoral,2011-12-11,2011-09-23,2011-12-11,3127,975,33,3.38
North,2011-12-11,2011-09-23,2011-12-11,985,370,29,7.84
North-West,2011-12-11,2011-09-23,2011-12-11,0,0,0,
West,2011-12-11,2011-09-23,2011-12-11,40,24,1,4.17
South,2011-12-11,2011-09-23,2011-12-11,110,74,4,5.41
South-West,2011-12-11,2011-09-23,2011-12-11,71,0,0,
(Centre|Far North|Littoral|North),2018-11-23,2018-05-18,2018-11-23,942,523,41,7.84
Far North,2018-11-23,2018-11-18,2018-11-23,62,38,1,2.63
North,2018-11-23,2018-11-18,2018-11-23,12,7,0,0.0
Centre,2018-11-23,2018-08-27,2018-11-23,0,0,0,
Littoral,2018-11-23,2018-10-11,2018-11-23,0,0,0,
Far North,2021-10-03,2021-01-01,2021-10-03,63,0,0,
Littoral,2021-10-03,2021-01-01,2021-10-03,115,61,0,0.0
North,2021-10-03,2021-01-01,2021-10-03,1,1,0,0.0
Centre,2021-11-02,2021-01-01,2021-11-02,40,17,1,5.88
Littoral,2021-11-02,2021-01-01,2021-11-02,29,0,0,
South-West,2021-11-02,2021-01-01,2021-11-02,36,2,0,0.0
Far North,2022-03-06,2021-01-24,2022-03-06,0,0,0,
Littoral,2022-03-06,2022-02-28,2022-03-06,71,44,3,6.82
North,2022-03-06,2022-02-28,2022-03-06,58,14,0,0.0
South,2022-03-06,2022-02-28,2022-03-06,0,0,0,
South-West,2022-03-06,2022-02-28,2022-03-06,79,26,2,7.69
Centre,2022-07-03,2022-06-27,2022-07-03,121,76,0,0.0
Far North,2022-07-03,2021-10-25,2022-07-03,101,0,0,
Littoral,2022-07-03,2022-06-27,2022-07-03,193,52,2,3.85
North,2022-07-03,2021-10-25,2022-07-03,4,1,0,0.0
South,2022-07-03,2021-10-25,2022-07-03,0,0,0,
South-West,2022-07-03,2022-06-27,2022-07-03,26,12,0,0.0
West,2022-07-03,2021-10-25,2022-07-03,82,0,0,
South-West,2022-08-03,2022-07-17,2022-08-03,0,0,0,
Centre,2022-09-08,2022-08-29,2022-09-08,48,32,0,0.0
Littoral,2022-09-08,2022-08-29,2022-09-08,262,106,6,5.66
West,2022-09-08,2022-08-29,2022-09-08,137,75,1,1.33
Centre,2022-09-22,2022-09-16,2022-09-22,0,0,0,
Littoral,2022-09-22,2022-09-16,2022-09-22,0,0,0,
West,2022-09-22,2022-09-16,2022-09-22,66,32,1,3.12
Centre,2022-10-13,2022-10-07,2022-10-13,97,41,1,2.44
Far North,2022-10-13,2022-10-07,2022-10-13,39,18,1,5.56
Littoral,2022-10-13,2022-10-07,2022-10-13,115,56,4,7.14
West,2022-10-13,2022-10-07,2022-10-13,42,0,0,
Centre,2022-10-20,2022-10-14,2022-10-20,30,17,0,0.0
Far North,2022-10-20,2022-10-14,2022-10-20,52,14,1,7.14
Littoral,2022-10-20,2021-10-25,2022-10-20,159,74,1,1.35
South-West,2022-10-20,2021-10-25,2022-10-20,6015,3920,63,1.61
Centre,2022-11-03,2022-10-28,2022-11-03,33,17,1,5.88
Far North,2022-11-03,2022-10-28,2022-11-03,71,33,2,6.06
Littoral,2022-11-03,2022-10-28,2022-11-03,117,79,2,2.53
West,2022-11-03,2022-10-28,2022-11-03,25,15,0,0.0
Centre,2022-11-10,2022-11-04,2022-11-10,24,9,0,0.0
Far North,2022-11-10,2022-11-04,2022-11-10,36,11,0,0.0
Littoral,2022-11-10,2022-11-04,2022-11-10,34,0,0,
Centre,2022-11-24,2022-11-18,2022-11-24,0,0,0,
Littoral,2022-11-24,2022-11-18,2022-11-24,52,16,0,0.0
West,2022-11-24,2022-11-18,2022-11-24,37,21,0,0.0
Centre,2022-12-08,2022-12-02,2022-12-08,34,15,0,0.0
Littoral,2022-12-08,2022-12-02,2022-12-08,25,0,0,
West,2022-12-08,2022-12-02,2022-12-08,12,3,0,0.0
Centre,2023-01-05,2022-12-30,2023-01-05,15,7,0,0.0
Littoral,2023-01-05,2022-12-30,2023-01-05,60,0,0,
Far North,2018-10-29,2018-10-23,2018-10-29,25,11,0,0.0
North,2018-10-29,2018-10-23,2018-10-29,50,0,0,
Centre,2018-10-29,2018-08-27,2018-10-29,0,0,0,
Littoral,2018-10-29,2018-10-11,2018-10-29,0,0,0,
Centre,2018-09-24,2018-08-28,2018-09-24,0,0,0,
North,2018-09-24,2018-05-18,2018-09-24,291,110,8,7.27
Littoral,2018-09-24,2018-05-18,2018-09-24,26,0,0,
North,2018-05-20,2018-05-14,2018-05-20,9,3,0,0.0
North,2018-05-27,2018-05-21,2018-05-27,62,36,2,5.56
North,2018-06-03,2018-05-28,2018-06-03,0,0,0,
North,2018-06-10,2018-06-04,2018-06-10,49,0,0,
North,2018-06-17,2018-06-11,2018-06-17,0,0,0,
North,2018-06-24,2018-06-18,2018-06-24,0,0,0,
North,2018-07-01,2018-06-25,2018-07-01,179,69,3,4.35
North,2018-07-08,2018-07-02,2018-07-08,0,0,0,
North,2018-07-15,2018-07-09,2018-07-15,38,11,0,0.0
North,2018-07-22,2018-07-16,2018-07-22,60,19,1,5.26
North,2018-07-29,2018-07-23,2018-07-29,26,12,0,0.0
North,2018-08-05,2018-07-30,2018-08-05,67,0,0,
North,2018-08-12,2018-08-06,2018-08-12,101,60,3,5.0
North,2018-08-19,2018-08-13,2018-08-19,101,52,1,1.92
North,2018-08-26,2018-08-20,2018-08-26,106,66,2,3.03
North,2018-09-02,2018-08-27,2018-09-02,0,0,0,
North,2018-09-09,2018-09-03,2018-09-09,123,41,1,2.44
North,2018-09-16,2018-09-10,2018-09-16,69,0,0,
North,2018-09-23,2018-09-17,2018-09-23,66,0,0,
North,2018-07-31,2018-05-18,2018-07-31,75,10,0,0.0
Centre,2018-07-31,2018-05-18,2018-07-31,68,23,0,0.0
Centre,2018-08-12,2018-08-06,2018-08-12,15,5,0,0.0
Littoral,2018-08-12,2018-07-17,2018-08-12,149,86,1,1.16
Far North,2018-08-12,2018-07-17,2018-08-12,0,0,0,
East,2018-08-12,2018-07-17,2018-08-12,65,30,1,3.33
South,2018-08-12,2018-07-17,2018-08-12,13,3,0,0.0
South-West,2018-08-12,2018-07-17,2018-08-12,42,19,0,0.0
Adamaoua,2018-01-07,2018-01-01,2018-01-07,0,0,0,
Adamaoua,2018-01-14,2018-01-08,2018-01-14,0,0,0,
Adamaoua,2018-01-21,2018-01-15,2018-01-21,0,0,0,
Adamaoua,2018-01-28,2018-01-22,2018-01-28,0,0,0,
Adamaoua,2018-02-04,2018-01-29,2018-02-04,0,0,0,
Adamaoua,2018-02-11,2018-02-05,2018-02-11,0,0,0,
Adamaoua,2018-02-18,2018-02-12,2018-02-18,0,0,0,
Adamaoua,2018-02-25,2018-02-19,2018-02-25,0,0,0,
Adamaoua,2018-03-04,2018-02-26,2018-03-04,0,0,0,
Adamaoua,2018-03-11,2018-03-05,2018-03-11,0,0,0,
Adamaoua,2018-03-18,2018-03-12,2018-03-18,0,0,0,
Adamaoua,2018-03-25,2018-03-19,2018-03-25,0,0,0,
Adamaoua,2018-04-01,2018-03-26,2018-04-01,0,0,0,
Adamaoua,2018-04-08,2018-04-02,2018-04-08,0,0,0,
Adamaoua,2018-04-15,2018-04-09,2018-04-15,0,0,0,
