,Unnamed: 0.1,Unnamed: 0,Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database,delete_flag,location_parts,Region
0,85719,85719,85721,AFR::CMR::Far North,2018-10-31,2018-11-02,0,91,42,0.0,2018-11-02,18,WHO AFRO Surveillance Report (UID: 21027),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 91 cases | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,2,Far North
1,85720,85720,85722,AFR::CMR::North,2018-10-31,2018-11-02,0,38,14,0.0,2018-11-02,18,WHO AFRO Surveillance Report (UID: 21027),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 17 cases | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,2,North
2,85721,85721,85723,AFR::CMR::Centre,2018-08-27,2018-11-02,0,0,0,,2018-11-02,18,WHO AFRO Surveillance Report (UID: 21027),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,2,Centre
3,85722,85722,85724,AFR::CMR::Littoral,2018-10-11,2018-11-02,0,0,0,,2018-11-02,18,WHO AFRO Surveillance Report (UID: 21027),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,2,Littoral
4,85731,85731,85735,AFR::CMR::Adamaoua,2010-05-06,2010-12-31,0,1,1,0.0,2010-12-31,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1 cases, 0 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,2,Adamaoua
5,85732,85732,85736,AFR::CMR::Centre,2010-05-06,2010-12-31,0,71,0,,2010-12-31,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 46 cases, 2 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,2,Centre
6,85733,85733,85737,AFR::CMR::East,2010-05-06,2010-12-31,0,36,0,,2010-12-31,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases, 0 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,2,East
7,85734,85734,85738,AFR::CMR::Far North,2010-05-06,2010-12-31,0,0,0,,2010-12-31,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 9421 cases, 602 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,2,Far North
8,85735,85735,85739,AFR::CMR::Littoral,2010-05-06,2010-12-31,0,0,0,,2010-12-31,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 456 cases, 17 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,2,Littoral
9,85736,85736,85740,AFR::CMR::North,2010-05-06,2010-12-31,0,498,0,,2010-12-31,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 498 cases, 22 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,2,North
10,85737,85737,85741,AFR::CMR::North-West,2010-05-06,2010-12-31,0,22,11,0.0,2010-12-31,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1 cases, 1 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,2,North-West
11,85738,85738,85742,AFR::CMR::West,2010-05-06,2010-12-31,0,12,6,0.0,2010-12-31,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1 cases, 0 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,2,West
12,85739,85739,85743,AFR::CMR::South,2010-05-06,2010-12-31,0,0,0,,2010-12-31,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases, 0 deaths | Adjusted synthetic outcome counts for dashboard environmental trend testing.",JHU,0,2,South
