,Region,TL,TR,reporting_date,sCh,cCh,deaths,CFR
0,Adamaoua,2010-01-04,2010-01-10,2010-01-10,0,0,0,0.0
1,Adamaoua,2010-01-11,2010-01-17,2010-01-17,0,0,0,0.0
2,Adamaoua,2010-01-18,2010-01-24,2010-01-24,0,0,0,0.0
3,Adamaoua,2010-01-25,2010-01-31,2010-01-31,19,0,0,0.0
4,Adamaoua,2010-02-01,2010-02-07,2010-02-07,0,0,0,0.0
5,Adamaoua,2010-02-08,2010-02-14,2010-02-14,24,15,0,0.0
6,Adamaoua,2010-02-15,2010-02-21,2010-02-21,0,0,0,0.0
7,Adamaoua,2010-02-22,2010-02-28,2010-02-28,5,3,0,0.0
8,Adamaoua,2010-03-01,2010-03-07,2010-03-07,0,0,0,0.0
9,Adamaoua,2010-03-08,2010-03-14,2010-03-14,0,0,0,0.0
10,Adamaoua,2010-03-15,2010-03-21,2010-03-21,54,0,0,0.0
11,Adamaoua,2010-03-22,2010-03-28,2010-03-28,74,26,1,3.8461538461538463
12,Adamaoua,2010-03-29,2010-04-04,2010-04-04,0,0,0,0.0
13,Adamaoua,2010-04-05,2010-04-11,2010-04-11,156,46,1,2.1739130434782608
14,Adamaoua,2010-04-12,2010-04-18,2010-04-18,104,37,0,0.0
15,Adamaoua,2010-04-19,2010-04-25,2010-04-25,22,13,0,0.0
16,Adamaoua,2010-04-26,2010-05-02,2010-05-02,0,0,0,0.0
17,Adamaoua,2010-05-03,2010-05-09,2010-05-09,0,0,0,0.0
18,Adamaoua,2010-05-10,2010-05-16,2010-05-16,0,0,0,0.0
19,Adamaoua,2010-05-17,2010-05-23,2010-05-23,0,0,0,0.0
20,Adamaoua,2010-05-24,2010-05-30,2010-05-30,66,20,0,0.0
21,Adamaoua,2010-05-31,2010-06-06,2010-06-06,0,0,0,0.0
22,Adamaoua,2010-06-07,2010-06-13,2010-06-13,61,0,0,0.0
23,Adamaoua,2010-06-14,2010-06-20,2010-06-20,65,0,0,0.0
24,Adamaoua,2010-06-21,2010-06-27,2010-06-27,0,0,0,0.0
25,Adamaoua,2010-06-28,2010-07-04,2010-07-04,98,48,1,2.083333333333333
26,Adamaoua,2010-07-05,2010-07-11,2010-07-11,15,6,0,0.0
27,Adamaoua,2010-07-12,2010-07-18,2010-07-18,194,95,1,1.0526315789473684
28,Adamaoua,2010-07-19,2010-07-25,2010-07-25,23,0,0,0.0
29,Adamaoua,2010-07-26,2010-08-01,2010-08-01,0,0,0,0.0
30,Adamaoua,2010-08-02,2010-08-08,2010-08-08,107,39,1,2.564102564102564
31,Adamaoua,2010-08-09,2010-08-15,2010-08-15,0,0,0,0.0
32,Adamaoua,2010-08-16,2010-08-22,2010-08-22,0,0,0,0.0
33,Adamaoua,2010-08-23,2010-08-29,2010-08-29,53,5,0,0.0
34,Adamaoua,2010-08-30,2010-09-05,2010-09-05,0,0,0,0.0
35,Adamaoua,2010-09-06,2010-09-12,2010-09-12,48,25,1,4.0
36,Adamaoua,2010-09-13,2010-09-19,2010-09-19,13,6,0,0.0
37,Adamaoua,2010-09-20,2010-09-26,2010-09-26,19,9,0,0.0
38,Adamaoua,2010-09-27,2010-10-03,2010-10-03,31,0,0,0.0
39,Adamaoua,2010-10-04,2010-10-10,2010-10-10,0,0,0,0.0
40,Adamaoua,2010-10-11,2010-10-17,2010-10-17,0,0,0,0.0
41,Adamaoua,2010-10-18,2010-10-24,2010-10-24,0,0,0,0.0
42,Adamaoua,2010-10-25,2010-10-31,2010-10-31,23,8,0,0.0
43,Adamaoua,2010-11-01,2010-11-07,2010-11-07,36,19,0,0.0
44,Adamaoua,2010-11-08,2010-11-14,2010-11-14,0,0,0,0.0
45,Adamaoua,2010-11-15,2010-11-21,2010-11-21,49,24,1,4.166666666666666
46,Adamaoua,2010-11-22,2010-11-28,2010-11-28,0,0,0,0.0
47,Adamaoua,2010-11-29,2010-12-05,2010-12-05,41,0,0,0.0
48,Adamaoua,2010-12-06,2010-12-12,2010-12-12,26,13,0,0.0
49,Adamaoua,2010-12-13,2010-12-19,2010-12-19,0,0,0,0.0
50,Adamaoua,2010-12-20,2010-12-26,2010-12-26,0,0,0,0.0
51,Adamaoua,2010-12-27,2011-01-02,2011-01-02,23,6,0,0.0
52,Adamaoua,2011-01-01,2011-09-22,2011-09-22,197,72,4,5.555555555555555
53,Adamaoua,2011-01-03,2011-01-09,2011-01-09,34,16,0,0.0
54,Adamaoua,2011-01-10,2011-01-16,2011-01-16,48,0,0,0.0
55,Adamaoua,2011-01-17,2011-01-23,2011-01-23,26,8,0,0.0
56,Adamaoua,2011-01-24,2011-01-30,2011-01-30,0,0,0,0.0
57,Adamaoua,2011-01-31,2011-02-06,2011-02-06,0,0,0,0.0
58,Adamaoua,2011-02-07,2011-02-13,2011-02-13,0,0,0,0.0
59,Adamaoua,2011-02-14,2011-02-20,2011-02-20,0,0,0,0.0
60,Adamaoua,2011-02-21,2011-02-27,2011-02-27,0,0,0,0.0
61,Adamaoua,2011-02-28,2011-03-06,2011-03-06,0,0,0,0.0
