Index,Location,TL,TR,deaths,sCh,cCh,CFR,reporting_date,source_index,source,confidence_weight,processing_notes,source_database,delete_flag,region_en,region_fr
85719,AFR::CMR,2020-01-01,2020-09-30,79.0,1848.0,63.0,4.3,2020-09-30,28,JHU Cholera Database (UID: 21144),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1848 cases, 79 deaths",JHU,0,,
85720,AFR::CMR,2018-05-18,2018-11-02,48.0,745.0,53.0,6.4,2018-11-02,18,WHO AFRO Surveillance Report (UID: 21027),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 745 cases, 48 deaths",JHU,0,,
85729,AFR::CMR,2018-05-18,2018-07-05,3.0,20.0,4.0,15.0,2018-07-05,38,WHO AFRO Surveillance Report (UID: 20926),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 20 cases, 3 deaths",JHU,0,,
85745,AFR::CMR,2010-05-06,2010-12-31,657.0,10759.0,,6.1,2010-12-31,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 10759 cases, 657 deaths",JHU,0,,
85756,AFR::CMR,2011-01-01,2011-09-22,636.0,17121.0,,3.7,2011-09-22,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 17121 cases, 636 deaths",JHU,0,,
85767,AFR::CMR,2010-05-03,2010-05-09,3.0,23.0,,13.0,2010-05-09,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 23 cases, 3 deaths",JHU,0,,
85768,AFR::CMR,2010-05-10,2010-05-16,0.0,31.0,,0.0,2010-05-16,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 31 cases, 0 deaths",JHU,0,,
85769,AFR::CMR,2010-05-17,2010-05-23,0.0,11.0,,0.0,2010-05-23,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 11 cases, 0 deaths",JHU,0,,
85770,AFR::CMR,2010-05-24,2010-05-30,5.0,11.0,,45.5,2010-05-30,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 11 cases, 5 deaths",JHU,0,,
85771,AFR::CMR,2010-05-31,2010-06-06,2.0,23.0,,8.7,2010-06-06,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 23 cases, 2 deaths",JHU,0,,
85772,AFR::CMR,2010-06-07,2010-06-13,8.0,23.0,,34.8,2010-06-13,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 23 cases, 8 deaths",JHU,0,,
85773,AFR::CMR,2010-06-14,2010-06-20,2.0,54.0,,3.7,2010-06-20,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 54 cases, 2 deaths",JHU,0,,
85774,AFR::CMR,2010-06-21,2010-06-27,5.0,123.0,,4.1,2010-06-27,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 123 cases, 5 deaths",JHU,0,,
85775,AFR::CMR,2010-06-28,2010-07-04,11.0,189.0,,5.8,2010-07-04,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 189 cases, 11 deaths",JHU,0,,
85776,AFR::CMR,2010-07-05,2010-07-11,18.0,170.0,,10.6,2010-07-11,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 170 cases, 18 deaths",JHU,0,,
85777,AFR::CMR,2010-07-12,2010-07-18,18.0,286.0,,6.3,2010-07-18,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 286 cases, 18 deaths",JHU,0,,
85778,AFR::CMR,2010-07-19,2010-07-25,22.0,297.0,,7.4,2010-07-25,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 297 cases, 22 deaths",JHU,0,,
85779,AFR::CMR,2010-07-26,2010-08-01,27.0,440.0,,6.1,2010-08-01,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 440 cases, 27 deaths",JHU,0,,
85780,AFR::CMR,2010-08-02,2010-08-08,48.0,588.0,,8.2,2010-08-08,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 588 cases, 48 deaths",JHU,0,,
85781,AFR::CMR,2010-08-09,2010-08-15,51.0,742.0,,6.9,2010-08-15,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 742 cases, 51 deaths",JHU,0,,
85782,AFR::CMR,2010-08-16,2010-08-22,45.0,785.0,,5.7,2010-08-22,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 785 cases, 45 deaths",JHU,0,,
85783,AFR::CMR,2010-08-23,2010-08-29,56.0,939.0,,6.0,2010-08-29,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 939 cases, 56 deaths",JHU,0,,
85784,AFR::CMR,2010-08-30,2010-09-05,57.0,916.0,,6.2,2010-09-05,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 916 cases, 57 deaths",JHU,0,,
85785,AFR::CMR,2010-09-06,2010-09-12,43.0,789.0,,5.4,2010-09-12,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 789 cases, 43 deaths",JHU,0,,
85786,AFR::CMR,2010-09-13,2010-09-19,42.0,730.0,,5.8,2010-09-19,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 730 cases, 42 deaths",JHU,0,,
85787,AFR::CMR,2010-09-20,2010-09-26,39.0,576.0,,6.8,2010-09-26,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 576 cases, 39 deaths",JHU,0,,
85788,AFR::CMR,2010-09-27,2010-10-03,16.0,394.0,,4.1,2010-10-03,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 394 cases, 16 deaths",JHU,0,,
85789,AFR::CMR,2010-10-04,2010-10-10,20.0,336.0,,6.0,2010-10-10,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 336 cases, 20 deaths",JHU,0,,
85790,AFR::CMR,2010-10-11,2010-10-17,21.0,251.0,,8.4,2010-10-17,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 251 cases, 21 deaths",JHU,0,,
85791,AFR::CMR,2010-10-18,2010-10-24,12.0,239.0,,5.0,2010-10-24,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 239 cases, 12 deaths",JHU,0,,
85792,AFR::CMR,2010-10-25,2010-10-31,11.0,255.0,,4.3,2010-10-31,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 255 cases, 11 deaths",JHU,0,,
85793,AFR::CMR,2010-11-01,2010-11-07,8.0,147.0,,5.4,2010-11-07,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 147 cases, 8 deaths",JHU,0,,
85794,AFR::CMR,2010-11-08,2010-11-14,10.0,193.0,,5.2,2010-11-14,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 193 cases, 10 deaths",JHU,0,,
85795,AFR::CMR,2010-11-15,2010-11-21,7.0,185.0,,3.8,2010-11-21,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 185 cases, 7 deaths",JHU,0,,
85796,AFR::CMR,2010-11-22,2010-11-28,6.0,193.0,,3.1,2010-11-28,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 193 cases, 6 deaths",JHU,0,,
85797,AFR::CMR,2010-11-29,2010-12-05,5.0,174.0,,2.9,2010-12-05,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 174 cases, 5 deaths",JHU,0,,
85798,AFR::CMR,2010-12-06,2010-12-12,6.0,135.0,,4.4,2010-12-12,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 135 cases, 6 deaths",JHU,0,,
85799,AFR::CMR,2010-12-13,2010-12-19,3.0,123.0,,2.4,2010-12-19,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 123 cases, 3 deaths",JHU,0,,
85800,AFR::CMR,2010-12-20,2010-12-26,9.0,135.0,,6.7,2010-12-26,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 135 cases, 9 deaths",JHU,0,,
85801,AFR::CMR,2010-12-27,2011-01-02,7.0,185.0,,3.8,2011-01-02,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 185 cases, 7 deaths",JHU,0,,
85802,AFR::CMR,2011-01-03,2011-01-09,3.0,135.0,,2.2,2011-01-09,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 135 cases, 3 deaths",JHU,0,,
85803,AFR::CMR,2011-01-10,2011-01-16,4.0,100.0,,4.0,2011-01-16,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 100 cases, 4 deaths",JHU,0,,
85804,AFR::CMR,2011-01-17,2011-01-23,4.0,143.0,,2.8,2011-01-23,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 143 cases, 4 deaths",JHU,0,,
85805,AFR::CMR,2011-01-24,2011-01-30,4.0,131.0,,3.1,2011-01-30,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 131 cases, 4 deaths",JHU,0,,
85806,AFR::CMR,2011-01-31,2011-02-06,2.0,154.0,,1.3,2011-02-06,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 154 cases, 2 deaths",JHU,0,,
85807,AFR::CMR,2011-02-07,2011-02-13,5.0,166.0,,3.0,2011-02-13,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 166 cases, 5 deaths",JHU,0,,
85808,AFR::CMR,2011-02-14,2011-02-20,4.0,178.0,,2.2,2011-02-20,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 178 cases, 4 deaths",JHU,0,,
85809,AFR::CMR,2011-02-21,2011-02-27,4.0,178.0,,2.2,2011-02-27,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 178 cases, 4 deaths",JHU,0,,
85810,AFR::CMR,2011-02-28,2011-03-06,6.0,197.0,,3.0,2011-03-06,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 197 cases, 6 deaths",JHU,0,,
85811,AFR::CMR,2011-03-07,2011-03-13,15.0,197.0,,7.6,2011-03-13,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 197 cases, 15 deaths",JHU,0,,
85812,AFR::CMR,2011-03-14,2011-03-20,20.0,297.0,,6.7,2011-03-20,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 297 cases, 20 deaths",JHU,0,,
85813,AFR::CMR,2011-03-21,2011-03-27,16.0,495.0,,3.2,2011-03-27,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 495 cases, 16 deaths",JHU,0,,
85814,AFR::CMR,2011-03-28,2011-04-03,14.0,406.0,,3.4,2011-04-03,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 406 cases, 14 deaths",JHU,0,,
85815,AFR::CMR,2011-04-04,2011-04-10,11.0,429.0,,2.6,2011-04-10,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 429 cases, 11 deaths",JHU,0,,
85816,AFR::CMR,2011-04-11,2011-04-17,5.0,375.0,,1.3,2011-04-17,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 375 cases, 5 deaths",JHU,0,,
85817,AFR::CMR,2011-04-18,2011-04-24,15.0,537.0,,2.8,2011-04-24,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 537 cases, 15 deaths",JHU,0,,
85818,AFR::CMR,2011-04-25,2011-05-01,16.0,557.0,,2.9,2011-05-01,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 557 cases, 16 deaths",JHU,0,,
85819,AFR::CMR,2011-05-02,2011-05-08,19.0,545.0,,3.5,2011-05-08,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 545 cases, 19 deaths",JHU,0,,
85820,AFR::CMR,2011-05-09,2011-05-15,22.0,669.0,,3.3,2011-05-15,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 669 cases, 22 deaths",JHU,0,,
85821,AFR::CMR,2011-05-16,2011-05-22,9.0,444.0,,2.0,2011-05-22,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 444 cases, 9 deaths",JHU,0,,
85822,AFR::CMR,2011-05-23,2011-05-29,19.0,522.0,,3.6,2011-05-29,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 522 cases, 19 deaths",JHU,0,,
85823,AFR::CMR,2011-05-30,2011-06-05,23.0,464.0,,5.0,2011-06-05,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 464 cases, 23 deaths",JHU,0,,
85824,AFR::CMR,2011-06-06,2011-06-12,12.0,375.0,,3.2,2011-06-12,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 375 cases, 12 deaths",JHU,0,,
85825,AFR::CMR,2011-06-13,2011-06-19,21.0,460.0,,4.6,2011-06-19,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 460 cases, 21 deaths",JHU,0,,
85826,AFR::CMR,2011-06-20,2011-06-26,21.0,394.0,,5.3,2011-06-26,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 394 cases, 21 deaths",JHU,0,,
85827,AFR::CMR,2011-06-27,2011-07-03,7.0,255.0,,2.7,2011-07-03,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 255 cases, 7 deaths",JHU,0,,
85828,AFR::CMR,2011-07-04,2011-07-10,18.0,580.0,,3.1,2011-07-10,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 580 cases, 18 deaths",JHU,0,,
85829,AFR::CMR,2011-07-11,2011-07-17,26.0,665.0,,3.9,2011-07-17,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 665 cases, 26 deaths",JHU,0,,
85830,AFR::CMR,2011-07-18,2011-07-24,33.0,580.0,,5.7,2011-07-24,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 580 cases, 33 deaths",JHU,0,,
85831,AFR::CMR,2011-07-25,2011-07-31,25.0,595.0,,4.2,2011-07-31,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 595 cases, 25 deaths",JHU,0,,
85832,AFR::CMR,2011-08-01,2011-08-07,54.0,715.0,,7.6,2011-08-07,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 715 cases, 54 deaths",JHU,0,,
85833,AFR::CMR,2011-08-08,2011-08-14,21.0,518.0,,4.1,2011-08-14,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 518 cases, 21 deaths",JHU,0,,
85834,AFR::CMR,2011-08-15,2011-08-21,31.0,816.0,,3.8,2011-08-21,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 816 cases, 31 deaths",JHU,0,,
85835,AFR::CMR,2011-08-22,2011-08-28,25.0,909.0,,2.8,2011-08-28,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 909 cases, 25 deaths",JHU,0,,
85836,AFR::CMR,2011-08-29,2011-09-04,41.0,731.0,,5.6,2011-09-04,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 731 cases, 41 deaths",JHU,0,,
85837,AFR::CMR,2011-09-05,2011-09-11,14.0,487.0,,2.9,2011-09-11,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 487 cases, 14 deaths",JHU,0,,
85838,AFR::CMR,2011-09-12,2011-09-18,19.0,541.0,,3.5,2011-09-18,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 541 cases, 19 deaths",JHU,0,,
85839,AFR::CMR,2011-09-19,2011-09-25,15.0,696.0,,2.2,2011-09-25,34,JHU Cholera Database (UID: 182),0.95,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 696 cases, 15 deaths",JHU,0,,
85971,AFR::CMR,2018-05-18,2018-07-08,4.0,38.0,5.0,10.5,2018-07-08,31,WHO AFRO Surveillance Report (UID: 20927),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 38 cases, 4 deaths",JHU,0,,
85972,AFR::CMR,2018-07-02,2018-07-08,1.0,19.0,,5.3,2018-07-08,31,WHO AFRO Surveillance Report (UID: 20927),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 19 cases, 1 deaths",JHU,0,,
85973,AFR::CMR,2018-06-25,2018-07-01,2.0,15.0,,13.3,2018-07-01,31,WHO AFRO Surveillance Report (UID: 20927),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 15 cases, 2 deaths",JHU,0,,
85978,AFR::CMR,2018-05-14,2018-05-20,,2.0,,,2018-05-20,31,WHO AFRO Surveillance Report (UID: 20927),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 2 cases",JHU,0,,
85979,AFR::CMR,2018-05-21,2018-05-27,,1.0,,,2018-05-27,31,WHO AFRO Surveillance Report (UID: 20927),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1 cases",JHU,0,,
85980,AFR::CMR,2018-05-28,2018-06-03,,0.0,,,2018-06-03,31,WHO AFRO Surveillance Report (UID: 20927),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
85981,AFR::CMR,2018-06-04,2018-06-10,,1.0,,,2018-06-10,31,WHO AFRO Surveillance Report (UID: 20927),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 1 cases",JHU,0,,
85982,AFR::CMR,2018-06-11,2018-06-17,,0.0,,,2018-06-17,31,WHO AFRO Surveillance Report (UID: 20927),0.97,"Converted from JHU database. Primary: True, Phantom: False - JHU reported 0 cases",JHU,0,,
