ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Quintile,Service level
CMR,Cameroon,total,Drinking water,2011,57.99071,2346571.53476,Middle,At least basic
CMR,Cameroon,rural,Drinking water,2011,37.46115,725122.37233,Middle,At least basic
CMR,Cameroon,urban,Drinking water,2011,83.50808,1762685.11972,Middle,At least basic
CMR,Cameroon,total,Sanitation,2011,34.0094,1376177.15149,Middle,At least basic
CMR,Cameroon,rural,Sanitation,2011,19.86888,384594.97937,Middle,At least basic
CMR,Cameroon,urban,Sanitation,2011,52.19511,1101732.16351,Middle,At least basic
CMR,Cameroon,total,Drinking water,2011,9.8151,397164.23143,Middle,Limited service
CMR,Cameroon,rural,Drinking water,2011,7.95621,154005.52101,Middle,Limited service
CMR,Cameroon,urban,Drinking water,2011,9.7248,205270.60219,Middle,Limited service
CMR,Cameroon,total,Sanitation,2011,17.49131,707778.94645,Middle,Limited service
CMR,Cameroon,rural,Sanitation,2011,6.46759,125190.79676,Middle,Limited service
CMR,Cameroon,urban,Sanitation,2011,38.82536,819524.11118,Middle,Limited service
CMR,Cameroon,total,Sanitation,2011,2.41003,97521.05506,Middle,Open defecation
CMR,Cameroon,rural,Sanitation,2011,6.63039,128342.08394,Middle,Open defecation
CMR,Cameroon,urban,Sanitation,2011,0.10673,2252.80788,Middle,Open defecation
CMR,Cameroon,total,Drinking water,2011,8.81053,356514.69032,Middle,Surface water
CMR,Cameroon,rural,Drinking water,2011,21.17524,409881.61272,Middle,Surface water
CMR,Cameroon,urban,Drinking water,2011,0.58088,12261.15801,Middle,Surface water
CMR,Cameroon,total,Drinking water,2011,23.38365,946210.34349,Middle,Unimproved
CMR,Cameroon,rural,Drinking water,2011,33.40741,646655.49393,Middle,Unimproved
CMR,Cameroon,urban,Drinking water,2011,6.18624,130578.92009,Middle,Unimproved
CMR,Cameroon,total,Sanitation,2011,46.08926,1864983.647,Middle,Unimproved
CMR,Cameroon,rural,Sanitation,2011,67.03315,1297537.13993,Middle,Unimproved
CMR,Cameroon,urban,Sanitation,2011,8.8728,187286.71742,Middle,Unimproved
CMR,Cameroon,total,Drinking water,2011,40.37223,1633646.43106,Poor,At least basic
CMR,Cameroon,rural,Drinking water,2011,33.98586,657852.41064,Poor,At least basic
CMR,Cameroon,urban,Drinking water,2011,80.96979,1709106.88812,Poor,At least basic
CMR,Cameroon,total,Sanitation,2011,22.60202,914581.91442,Poor,At least basic
CMR,Cameroon,rural,Sanitation,2011,27.29267,528294.74734,Poor,At least basic
CMR,Cameroon,urban,Sanitation,2011,50.66517,1069438.24256,Poor,At least basic
CMR,Cameroon,total,Drinking water,2011,9.20825,372608.14602,Poor,Limited service
CMR,Cameroon,rural,Drinking water,2011,7.93226,153542.04232,Poor,Limited service
CMR,Cameroon,urban,Drinking water,2011,9.47124,199918.435,Poor,Limited service
CMR,Cameroon,total,Sanitation,2011,6.94833,281161.57448,Poor,Limited service
CMR,Cameroon,rural,Sanitation,2011,2.52417,48859.44259,Poor,Limited service
CMR,Cameroon,urban,Sanitation,2011,32.35018,682846.2267,Poor,Limited service
CMR,Cameroon,total,Sanitation,2011,6.59258,266766.16459,Poor,Open defecation
CMR,Cameroon,rural,Sanitation,2011,19.51176,377682.24184,Poor,Open defecation
CMR,Cameroon,urban,Sanitation,2011,0.20955,4423.08689,Poor,Open defecation
CMR,Cameroon,total,Drinking water,2011,17.68586,715651.31299,Poor,Surface water
CMR,Cameroon,rural,Drinking water,2011,22.8968,443205.36138,Poor,Surface water
CMR,Cameroon,urban,Drinking water,2011,0.68601,14480.16796,Poor,Surface water
CMR,Cameroon,total,Drinking water,2011,32.73366,1324554.90994,Poor,Unimproved
CMR,Cameroon,rural,Drinking water,2011,35.18508,681065.18567,Poor,Unimproved
CMR,Cameroon,urban,Drinking water,2011,8.87297,187290.30893,Poor,Unimproved
CMR,Cameroon,total,Sanitation,2011,63.85707,2583951.14651,Poor,Unimproved
CMR,Cameroon,rural,Sanitation,2011,50.6714,980828.56823,Poor,Unimproved
CMR,Cameroon,urban,Sanitation,2011,16.77511,354088.24384,Poor,Unimproved
CMR,Cameroon,total,Drinking water,2011,33.80848,1368046.74639,Poorest,At least basic
CMR,Cameroon,rural,Drinking water,2011,31.60132,611695.6339,Poorest,At least basic
CMR,Cameroon,urban,Drinking water,2011,61.26556,1293190.76614,Poorest,At least basic
CMR,Cameroon,total,Sanitation,2011,22.75457,920754.69966,Poorest,At least basic
CMR,Cameroon,rural,Sanitation,2011,18.69285,361830.93187,Poorest,At least basic
CMR,Cameroon,urban,Sanitation,2011,35.68234,753181.28179,Poorest,At least basic
CMR,Cameroon,total,Drinking water,2011,8.51002,344354.42959,Poorest,Limited service
CMR,Cameroon,rural,Drinking water,2011,9.11278,176392.83527,Poorest,Limited service
CMR,Cameroon,urban,Drinking water,2011,12.20727,257670.64048,Poorest,Limited service
CMR,Cameroon,total,Sanitation,2011,1.72811,69927.23581,Poorest,Limited service
CMR,Cameroon,rural,Sanitation,2011,1.45979,28256.59534,Poorest,Limited service
CMR,Cameroon,urban,Sanitation,2011,14.39554,303860.37225,Poorest,Limited service
CMR,Cameroon,total,Sanitation,2011,26.22674,1061254.59471,Poorest,Open defecation
CMR,Cameroon,rural,Sanitation,2011,30.68408,593940.99505,Poorest,Open defecation
CMR,Cameroon,urban,Sanitation,2011,6.83943,144366.33416,Poorest,Open defecation
CMR,Cameroon,total,Drinking water,2011,18.9905,768443.14776,Poorest,Surface water
CMR,Cameroon,rural,Drinking water,2011,17.16184,332195.74792,Poorest,Surface water
CMR,Cameroon,urban,Drinking water,2011,5.35201,112970.00432,Poorest,Surface water
CMR,Cameroon,total,Drinking water,2011,38.69101,1565616.47626,Poorest,Unimproved
CMR,Cameroon,rural,Drinking water,2011,42.12407,815380.78291,Poorest,Unimproved
CMR,Cameroon,urban,Drinking water,2011,21.17516,446964.38906,Poorest,Unimproved
CMR,Cameroon,total,Sanitation,2011,49.29059,1994524.26982,Poorest,Unimproved
CMR,Cameroon,rural,Sanitation,2011,49.16328,951636.47773,Poorest,Unimproved
CMR,Cameroon,urban,Sanitation,2011,43.0827,909387.81181,Poorest,Unimproved
CMR,Cameroon,total,Drinking water,2011,79.1705,3203603.06555,Rich,At least basic
CMR,Cameroon,rural,Drinking water,2011,44.1283,854176.02136,Rich,At least basic
CMR,Cameroon,urban,Drinking water,2011,91.00212,1920868.83154,Rich,At least basic
CMR,Cameroon,total,Sanitation,2011,51.2702,2074628.61811,Rich,At least basic
CMR,Cameroon,rural,Sanitation,2011,24.19273,468290.29422,Rich,At least basic
CMR,Cameroon,urban,Sanitation,2011,57.7499,1218982.56822,Rich,At least basic
CMR,Cameroon,total,Drinking water,2011,9.36501,378951.63193,Rich,Limited service
CMR,Cameroon,rural,Drinking water,2011,8.15304,157815.52015,Rich,Limited service
